REACTION	GENE ID	GENE SYMBOL	FRACTION
HMR_9527	10	NAT2	1.0
ADA	100	ADA	0.5853658536585367
ADAe	100	ADA	0.41463414634146345
DADA	100	ADA	0.5853658536585367
DADAe	100	ADA	0.41463414634146345
HMR_9577	10000	AKT3	1.0
HMR_9579	10000	AKT3	1.0
PTE2x	10005	ACOT8	0.4464285714285714
RE0344X	10005	ACOT8	0.4464285714285714
RE0577X	10005	ACOT8	0.4464285714285714
RE0578X	10005	ACOT8	0.4464285714285714
RE0579X	10005	ACOT8	0.4464285714285714
RE1834C	10005	ACOT8	0.39285714285714285
RE1834X	10005	ACOT8	0.4464285714285714
RE1835X	10005	ACOT8	0.4464285714285714
RE2649X	10005	ACOT8	0.4464285714285714
RE3339X	10005	ACOT8	0.4464285714285714
RE3343X	10005	ACOT8	0.4464285714285714
RE3444X	10005	ACOT8	0.4464285714285714
RE3560X	10005	ACOT8	0.4464285714285714
RE3574X	10005	ACOT8	0.4464285714285714
RE3586X	10005	ACOT8	0.4464285714285714
ADPCOAPTE	10005	ACOT8	0.4464285714285714
C12DCACOT	10005	ACOT8	0.4464285714285714
SBCOAACOTx	10005	ACOT8	0.4464285714285714
SEBCOAPET	10005	ACOT8	0.4464285714285714
SUCCOAPET	10005	ACOT8	0.4464285714285714
THEXDDm	10005	ACOT8	0.1607142857142857
HEXDTRm	10005	ACOT8	0.1607142857142857
HPDECEm	10005	ACOT8	0.1607142857142857
5EIPENCm	10005	ACOT8	0.1607142857142857
HMR_1065	10005	ACOT8	0.39285714285714285
HMR_1066	10005	ACOT8	0.39285714285714285
HMR_1067	10005	ACOT8	0.39285714285714285
HMR_1068	10005	ACOT8	0.39285714285714285
HMR_1069	10005	ACOT8	0.39285714285714285
HMR_1070	10005	ACOT8	0.39285714285714285
HMR_1302	10005	ACOT8	0.4464285714285714
HMR_3475	10005	ACOT8	0.4464285714285714
HMR_6432	10005	ACOT8	0.1607142857142857
HMR_6433	10005	ACOT8	0.1607142857142857
HMR_6435	10005	ACOT8	0.1607142857142857
HMR_6436	10005	ACOT8	0.1607142857142857
HMR_6450	10005	ACOT8	0.1607142857142857
HMR_6451	10005	ACOT8	0.1607142857142857
HMR_6453	10005	ACOT8	0.1607142857142857
HMR_6471	10005	ACOT8	0.1607142857142857
HMR_6472	10005	ACOT8	0.1607142857142857
HMR_6473	10005	ACOT8	0.1607142857142857
HMR_6484	10005	ACOT8	0.1607142857142857
HMR_6486	10005	ACOT8	0.1607142857142857
IBUP_SACOT2	10005	ACOT8	0.39285714285714285
G6PDA	10007	GNPDA1	1.0
PLA2_2	100137049	PLA2G4B	1.0
PCHOLMYR_HSPLA2	100137049	PLA2G4B	1.0
PCHOLOLE_HSPLA2	100137049	PLA2G4B	1.0
PEOLE_HSPLA2	100137049	PLA2G4B	1.0
PCHOLPALME_HSPLA2	100137049	PLA2G4B	1.0
PCHOLPALM_HSPLA2	100137049	PLA2G4B	1.0
PEPALM_HSPLA2	100137049	PLA2G4B	1.0
PAILPALM_HSPLA2	100137049	PLA2G4B	1.0
PCHOLSTE_HSPLA2	100137049	PLA2G4B	1.0
PCHOL2LINL_HSPLA2	100137049	PLA2G4B	1.0
PE2LINL_HSPLA2	100137049	PLA2G4B	1.0
PCHOL2OLE_HSPLA2	100137049	PLA2G4B	1.0
PCHOL2PALM_HSPLA2	100137049	PLA2G4B	1.0
PCHOL2STE_HSPLA2	100137049	PLA2G4B	1.0
PCHOLN15_HSPLA2	100137049	PLA2G4B	1.0
