[Not Available],NOS
[Unknown],NOS
681640,681640
(5Z)-7-Oxozeaenol,(5Z)-7-Oxozeaenol
06BG,O6-Benzylguanine
06-BG,O6-Benzylguanine
06-BG (NABTT 0803),O6-Benzylguanine
06GB,O6-Benzylguanine
17-AAG,Tanespimycin
2-[1-hexyloxyethyl]-2-devinyl pyropheophorbide-alpha (HPPH or Photochlor),Photochlor
2B3-101,Doxorubicin
5 fluorouracil,Fluorouracil
5 fluorouracil+leucovorin,Fluorouracil+Leucovorin
5 fluorouracilum,Fluorouracil
5 fluorouracilum+leucovorin,Fluorouracil+Leucovorin
5 FU,Fluorouracil
5- FU,Fluorouracil
5F4 Leucovorin,Fluorouracil+Leucovorin
5-Flourouracil,Fluorouracil
5-fluorouracil,Fluorouracil
5-Fluorouracil,Fluorouracil
5-Fluorouracil + leucovorin,Fluorouracil+Leucovorin
5-Fluorouracil?,Fluorouracil
5fluorouracil+leucovorin,Fluorouracil+Leucovorin
5fluorouracil+oxaciplatina+l-folinian discido,Leucovorin+Fluorouracil+Oxaliplatin
5-fluorouracilum,Fluorouracil
5-Fluoruoracil,Fluorouracil
5-flurouracil,Fluorouracil
5FU,Fluorouracil
5-fu,Fluorouracil
5-FU,Fluorouracil
5-FU + LEULOV,Fluorouracil+Leucovorin
5-FU+ etoposidium,Fluorouracil+Etoposide
6 Thiguanine,Tioguanine
6 Thioguanine,Tioguanine
6-Mercaptopurine,Mercaptopurine
81c6,81C6
81C6,81C6
9 Aminocamptothecin,Aminocamptothecin
9 immunoamino camptnetecin,Aminocamptothecin
90Y-HU3S193,Hu3S193
9AC 9 Aminocamplotecian,Aminocamptothecin
A202171 Protocol,NOS
A-443654,A-443654
A4QN,A4QN
A-770041,A-770041
Abagovomab or Placebo,Abagovomab
Abagovomab vs Placebo,Abagovomab
Abagovomag vs Placebo,Abagovomab
Abiraterone,Abiraterone
abraxane,Paclitaxel
Abraxane,Paclitaxel
ABRAXANE,Paclitaxel
ABT-888,Veliparib
ABT-888 and temozolomide,Veliparib+Temozolomide
ABT-888 Parp Inhibitor,Veliparib
ABTC 0603 Hydroxychloroquine,Hydroxychloroquine
ac,Doxorubicin+Cyclophosphamide
Acctuane,Isotretinoin
Accutane,Isotretinoin
ACT PEP3 KLH,PEP-3-KLH
actinomycin d,Dactinomycin
Actinomycin-D,Dactinomycin
adriamicin,Doxorubicin
adriamycin,Doxorubicin
Adriamycin,Doxorubicin
ADRIAMYCIN,Doxorubicin
Adriamycin (doxorubicin),Doxorubicin
"Adriamycin, cytoxan, avastin",Doxorubicin+Cyclophosphamide+Bevacizumab
Adriamycin/Cytoxan,Doxorubicin+Cyclophosphamide
adriamycin+cuclophosphamide,Doxorubicin+Cyclophosphamide
adriamycin+cyclophosphamid,Doxorubicin+Cyclophosphamide
adriamycin+cyclophosphamide,Doxorubicin+Cyclophosphamide
Adriamyicin,Doxorubicin
adrimicin+cyclophosphamide,Doxorubicin+Cyclophosphamide
Adrimycin,Doxorubicin
adrimycin+cyclophosphamide,Doxorubicin+Cyclophosphamide
AE 788,AE788
AE-37,AE37
Afatinib,Afatinib
Afinitor,Everolimus
Aflibercept,Aflibercept
Aflibercept/ Placebo Study,Aflibercept
AICA Ribonucleotide,AICA Ribonucleotide
AKT inhibitor VIII,AKT inhibitor VIII
Albumin-Bound Paclitaxel,Paclitaxel
Alectinib,Alectinib
Alferon,Alferon
alimta,Pemetrexed
Alimta,Pemetrexed
ALIMTA,Pemetrexed
Alkeran,Melphalan
Almita,Pemetrexed
Aloxi,Palonosetron
Alpha Interferon,Alferon
Altima,Pemetrexed
Alvesin,Alvesin
Amatuximab (MORab-009),Amatuximab
AMG 102,Rilotumumab
AMG 706,Motesanib
Amgen 706,Motesanib
Amifostine,Amifostine
Aminopterin,Aminopterin
Amitostin,Amifostine
Amitostine,Amifostine
Amuvatinib,Amuvatinib
Anastrazole,Anastrozole
Anastrozole,Anastrozole
ANASTROZOLE,Anastrozole
ANASTROZOLE (ARIMIDEX),Anastrozole
anastrozolum,Anastrozole
Angiocal,Angiocal
Angiocept,Pegdinetanib
Anti necplatens,Antineoplastons
anti neopastons,Antineoplastons
AP-23573 (ARIAD),Ridaforolimus
AR-42,AR-42
ARIAD AP23573,Ridaforolimus
arimidex,Anastrozole
Arimidex,Anastrozole
ARIMIDEX,Anastrozole
Arimidex (Anastrozole),Anastrozole
ARIMIDEX (ANASTROZOLE),Anastrozole
Armidex,Anastrozole
Armour Thyroid,Desiccated thyroid
aromasin,Exemestane
Aromasin,Exemestane
Aromasin (Exemestane),Exemestane
AROMASIN (EXEMESTANE),Exemestane
aromatase exemestane,Exemestane
Arsenic Tnoxide,Arsenic trioxide
Arsenic Trioxide,Arsenic trioxide
Arsenic Trioxide (ATO),Arsenic trioxide
AS601245,AS601245
AS605240,AS605240
AT 101,AT-101
AT-101,AT-101
AT-7519,AT-7519
ATTAC,NOS
autologous vaccine,ATCV
Avagacestat,Avagacestat
avastin,Bevacizumab
Avastin,Bevacizumab
Avastin (Bevacizumab),Bevacizumab
Avastin/bevacizumab/placebo,Bevacizumab
Axitinib,Axitinib
Axitnib,Axitinib
AZ628,AZ628
azaTHIOprine,Azathioprine
AZD,AZD
AZD 2281,Olaparib
AZD6244,Selumetinib
AZD6482,AZD6482
AZD7762,AZD7762
AZD8055,AZD8055
B12,Cyanocobalamin
BA4 43 9006,Sorafenib
Bacillus Calmette-Guerin (BCG),BCG
Bay-439006,Sorafenib
BAY-61-3606,BAY-61-3606
BCG,BCG
"BCG, Intravesicular",BCG
BCNU,Carmustine
BCNU (carmustine),Carmustine
BCNU (Carmustine),Carmustine
Belinostat,Belinostat
Benzylguanine,O6-Benzylguanine
Bevacizamab/Placebo,Bevacizumab
bevacizumab,Bevacizumab
Bevacizumab,Bevacizumab
BEVACIZumab,Bevacizumab
BEVACIZUmab,Bevacizumab
BEVACIZUMAB,Bevacizumab
BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY,Bevacizumab
Bevacizumab Avastin,Bevacizumab
Bevacizumab or placebo,Bevacizumab
Bevacizumab or Placebo,Bevacizumab
