REACTION,KCAT [1/hr],STEP
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,105192000,13
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,124035.0244,12
2HBO,115200,5
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,5225400,17
2OXOADPTm,,
34DHOXPEGOX,550800,5
34DHOXPEGt,,
34DHPHAMT,717.9704073,9
34DHPHEt,,
34DHPLACOX,95400,3
34DHPLACOX_NADP_,139680,3
34DHXMANDACOX,95400,3
34DHXMANDACOX_NADP_,139680,3
34HPLFM,,
34HPPOR,7920,2
35CGMPtn,,
3AIBTm,3870000,26
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,3852,6
3HAO,90000,6
3HBCDm,24480,15
3HBCOAHLm,606000,6
3HKYNAKGAT,27612,2
3HLYTCL,252,2
3HPCOAHYD,606000,12
3HPPD,36579.6,14
3HXKYNDCL,50811.94148,20
3HXKYNOXDA,9887.4,5
3M4HDXPAC,95400,3
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,95400,3
3MOX4HOXPGALDOX_NADP_,139680,3
3MOXTYROX,9887.4,5
3NTD7l,216977.1429,8
3SALAASPm,,
3SALACBOXL,14499,9
3SALAOX,14499,9
3SALATAi,677314.2857,5
3SALATAim,677314.2857,5
3SPYRSP,800441.7393,11
3SPYRSPm,,
41R1H2MAE12BOOX,9887.4,5
41R2A1H12BOOX,9887.4,5
42A12BOOX,8172,14
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,14076,17
4HOXPACDOX_NADP_,139680,3
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,303720,5
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,46.8,8
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,3679.390562,8
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,144,8
5HOXINDACTOXm,14076,17
5HOXINOXDA,66960,2
5HTRPDOX,10440,3
5HTRPVESSEC,,
5HXKYNDCL,3703.884146,8
5HXKYNOXDA,9887.4,5
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,14908.73307,11
A_MANASEly,220970.7541,12
A4GALTc,5220.72,14
A4GALTg,5344.8,14
A4GNT1g,1057.2,15
A4GNT2g,,
AACTOOR,9828,14
AACTtm,,
AASAD3m,,
AATAi,66240,6
ABO1g,48338.92949,12
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,27612,26
ABTD,57922.8,5
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,106200,6
ACACT1rm,3780,6
ACACT1x,3780,6
ACACt2m,,
ACACT4p,29621.5993,8
ACACT5p,29621.5993,8
ACACT6p,29621.5993,8
ACACT7p,29621.5993,8
ACACT8p,29621.5993,8
ACACT9p,29621.5993,8
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,624.6,2
ACCOAgt,,
ACCOALm,6840,4
ACCOAtn,,
ACCOAtr,,
ACETONEt2,,
ACETONEt2m,,
ACGAGBSIDEtg,,
ACGAGBSIDEtl,,
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,,
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,,
