REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
10FTHF5GLUtl,0.0,0.0,-11.0,-40.69,18.69
10FTHF5GLUtm,0.0,0.0,-89.73,-119.42,-60.04
10FTHF6GLUtl,0.0,0.0,-12.83,-42.52,16.86
10FTHF6GLUtm,0.0,0.0,-104.69,-134.38,-75.0
10FTHF7GLUtl,0.0,0.0,-14.67,-44.35,15.02
10FTHF7GLUtm,0.0,0.0,-119.64,-149.33,-89.95
10FTHFtl,0.0,0.0,-3.69,-33.38,26.0
10FTHFtm,0.0,0.0,29.91,0.22,59.6
11DOCRTSLtm,0.0,0.0,-0.0,-29.69,29.69
11DOCRTSLtr,0.0,0.0,0.0,-29.69,29.69
11DOCRTSTRNtm,0.0,0.0,-0.0,-29.69,29.69
11DOCRTSTRNtr,0.0,0.0,0.0,-29.69,29.69
13DAMPPOX,-91.39,9.72,-89.93,-209.93,-23.38
1a_24_25VITD3Hm,-451.98,7.18,-398.56,-460.15,-283.54
1a_25VITD2Hm,-450.36,7.01,-396.95,-458.19,-282.26
1a_25VITD3Hm,-443.83,6.88,-390.41,-451.4,-275.98
1MNCAMti,11.33,4.76,-26.16,-136.42,30.67
1PPDCRp,-64.7,5.14,-20.18,-89.63,49.26
24_25DHVITD2t,0.0,0.0,0.0,-29.69,29.69
24_25DHVITD2tm,0.0,0.0,-0.0,-29.69,29.69
24_25DHVITD3t,0.0,0.0,-0.0,-29.69,29.69
24_25DHVITD3tm,0.0,0.0,0.0,-29.69,29.69
24_25VITD3Hm,-443.83,6.88,-390.41,-451.4,-275.98
24NPHte,0.0,0.0,0.84,-28.85,30.53
25HVITD2t,0.0,0.0,0.0,-29.69,29.69
25HVITD2tin,0.0,0.0,-0.0,-29.69,29.69
25HVITD2tin_m,0.0,0.0,0.0,-29.69,29.69
25HVITD2tm,0.0,0.0,-0.0,-29.69,29.69
25HVITD3t,0.0,0.0,0.0,-29.69,29.69
25HVITD3tin_m,0.0,0.0,0.0,-29.69,29.69
25HVITD3tm,0.0,0.0,-0.0,-29.69,29.69
25VITD2Hm,-451.98,7.18,-398.56,-460.15,-283.54
25VITD3Hm,-451.98,7.18,-398.56,-460.15,-283.54
2AMADPTm,0.0,0.0,-15.15,-74.52,44.23
2DR1PP,-13.92,4.51,-14.21,-94.3,12.43
2HBO,61.52,5.46,15.81,-54.27,85.89
2HBt2,0.0,0.0,1.19,-28.5,30.88
2HCO3_NAt,0.0,0.0,2.72,-86.35,91.78
2MCITt,0.0,0.0,-8.68,-38.37,21.01
2OXOADOXm,-36.18,6.2,-41.74,-142.96,59.48
2OXOADPTm,0.0,0.0,0.0,-59.38,59.38
34DHOXPEGOX,-61.46,5.14,-15.75,-85.2,53.69
34DHOXPEGt,0.0,0.0,-0.03,-29.71,29.66
34DHPHEt,0.0,0.0,0.04,-29.65,29.73
34DHPLACOX,46.17,9.69,-43.8,-122.17,34.58
34DHPLACOX_NADP_,49.6,9.7,-43.32,-121.71,35.06
34DHXMANDACOX,46.17,9.69,-43.8,-122.17,34.57
34DHXMANDACOX_NADP_,49.6,9.7,-43.33,-121.71,35.06
34HPLFM,-123.92,9.34,-73.46,-151.14,4.21
34HPPOR,-549.2,11.76,-549.19,-631.62,-466.76
35CGMPtn,0.0,0.0,0.0,-29.69,29.69
3AIBTm,-1.35,3.59,-2.63,-69.06,63.79
3AIBtmi,0.0,0.0,0.02,-29.67,29.71
3DPHBH1,-480.35,7.67,-430.02,-492.56,-314.05
3DPHBH2,-483.78,7.68,-430.5,-493.05,-314.5
3DSPHR,-59.35,5.12,-9.73,-79.13,59.67
3HBCDm,-4.25,4.73,-4.25,-43.21,34.71
3HBCOAHLm,17.6,5.65,-31.74,-114.06,-2.86
3HKYNAKGAT,-8.68,3.64,-7.2,-73.71,59.3
3HLYTCL,-55.9,6.98,-13.1,-98.04,18.4
3HPCOAHYD,4.41,7.13,-39.88,-125.12,-8.09
3HPPD,66.25,6.69,20.54,-51.94,93.03
3HXKYNDCL,-55.9,6.98,-13.07,-98.01,18.43
3HXKYNOXDA,-201.12,14.17,-201.21,-329.93,-125.93
3M4HDXPAC,46.17,9.69,-43.78,-122.15,34.6
3MLDAt,0.0,0.0,-2.81,-32.5,26.88
3MOBt2im,0.0,0.0,-4.75,-34.44,24.94
3MOPt2im,0.0,0.0,-4.75,-34.44,24.94
3MOX4HOXPGALDOX,46.17,9.69,-43.78,-122.15,34.6
3MOX4HOXPGALDOX_NADP_,49.6,9.7,-43.3,-121.69,35.08
3MOXTYROX,-89.02,8.97,-89.08,-207.59,-24.0
3NTD7l,-11.96,5.85,-16.75,-99.48,12.54
3SALAASPm,-0.0,0.0,-14.32,-73.7,45.06
3SALACBOXL,-86.81,10.82,3.3,-89.16,42.33
3SALATAi,-39.59,6.03,6.27,-64.94,77.47
3SALATAim,-39.59,6.03,11.62,-59.58,82.82
41R1H2MAE12BOOX,-71.27,17.09,-71.27,-205.71,9.74
41R2A1H12BOOX,-89.02,8.97,-89.07,-207.58,-23.99
42A12BOOX,-89.02,8.97,-89.09,-207.61,-24.02
4ABUTtm,0.0,0.0,-0.02,-29.71,29.67
4HBZCOAFm,17.67,6.0,-35.35,-136.17,65.48
4HBZFm,18.75,5.46,-26.54,-108.5,1.98
4HDEBRISOQUINEte,0.0,0.0,-2.89,-32.58,26.79
4HGLSDm,46.17,9.69,-53.06,-131.43,25.32
4HOXPACDOX_NADP_,49.6,9.7,-43.31,-121.7,35.07
4MOPt2im,0.0,0.0,-4.75,-34.44,24.94
4MPTNLte,0.0,0.0,0.0,-29.69,29.69
4MPTNLtm,0.0,0.0,0.0,-29.69,29.69
4MPTNLtr,0.0,0.0,0.0,-29.69,29.69
4MTOLBUTAMIDEte,0.0,0.0,-0.0,-29.69,29.69
4NPHSFte,0.0,0.0,2.89,-26.79,32.58
4NPHte,0.0,0.0,0.91,-28.78,30.59
4PYRDX,11.33,4.76,-29.05,-139.31,27.77
5ADTSTSTERONEGLCte,11.33,4.76,-29.05,-139.31,27.77
5ADTSTSTERONEGLCtr,0.0,0.0,0.0,-29.69,29.69
5ADTSTSTERONESte,0.0,0.0,-2.89,-32.58,26.79
5ADTSTSTERONEte,0.0,0.0,-0.0,-29.69,29.69
5ADTSTSTERONEtr,0.0,0.0,0.0,-29.69,29.69
5AOPtm,0.0,0.0,-2.4,-32.09,27.29
5DHFtl,0.0,0.0,-61.09,-90.78,-31.4
5FTHFt2,-0.0,0.0,5.79,-23.9,35.48
5HLTDL,-55.9,6.98,-13.12,-98.06,18.38
5HOMEPRAZOLEte,0.0,0.0,-0.0,-29.69,29.69
5HOXINDACTO2OX,-129.26,8.47,-173.51,-249.49,-97.53
5HOXINDACTOXm,46.17,9.69,-53.36,-131.73,25.01
5HOXINOXDA,-89.02,8.97,-89.08,-207.59,-24.0
5HTRPDOX,-356.82,16.01,-356.93,-406.13,-254.29
5HTRPVESSEC,11.33,4.76,-29.08,-139.34,27.74
5HXKYNDCL,-55.9,6.98,-13.07,-98.01,18.43
5HXKYNOXDA,-201.12,14.17,-201.18,-329.9,-125.9
5MTHFt,0.0,0.0,2.89,-26.79,32.58
5MTHFt2,0.0,0.0,2.89,-26.79,32.58
5THFtl,0.0,0.0,-61.09,-90.78,-31.4
5THFtm,0.0,0.0,-111.1,-140.79,-81.41
6DHFtl,0.0,0.0,-72.98,-102.67,-43.3
6DHFtm,0.0,0.0,-130.94,-160.63,-101.25
6HTSTSTERONEte,0.0,0.0,-0.0,-29.69,29.69
6HTSTSTERONEtr,0.0,0.0,0.0,-29.69,29.69
6THFtl,0.0,0.0,-72.98,-102.67,-43.3
6THFtm,0.0,0.0,-130.94,-160.63,-101.25
7DHCHSTEROLtr,0.0,0.0,0.0,-29.69,29.69
7DHFtl,0.0,0.0,-85.27,-114.96,-55.59
7DHFtm,0.0,0.0,-152.27,-181.96,-122.58
7THFtl,0.0,0.0,-85.27,-114.96,-55.59
7THFtm,0.0,0.0,-152.27,-181.96,-122.58
A_MANASE,-2.98,7.58,-2.98,-130.66,17.81
A_MANASEly,-2.98,7.58,-2.98,-130.66,17.81
AACTOOR,-92.6,9.28,-92.12,-211.26,-26.42
AACTtm,0.0,0.0,16.73,-12.96,46.42
AASAD3m,54.79,10.72,-44.68,-125.06,35.71
AATAi,-0.72,4.73,-0.72,-69.36,67.93
ABTArm,4.9,2.37,6.18,-57.83,70.2
ABTD,51.86,5.85,6.14,-64.7,76.99
ABTti,0.0,0.0,-0.0,-29.69,29.69
ABUTt2rL,0.0,0.0,-11.67,-41.36,18.01
ABUTt4_2_r,0.0,0.0,-6.01,-95.07,83.06
ACACT10m,-19.35,4.96,-18.98,-88.09,50.13
ACACT1rm,26.83,1.39,26.27,-35.83,88.37
ACACT1x,26.83,1.39,26.77,-35.33,88.87
ACACt2m,0.0,0.0,-4.75,-34.44,24.94
ACACT4p,-26.9,2.52,-26.8,-91.1,37.51
ACACT5p,-26.9,2.52,-26.8,-91.1,37.51
ACACT6p,-26.9,2.52,-26.8,-91.1,37.51
ACACT7p,-26.9,2.52,-26.8,-91.1,37.51
ACACT8p,-31.32,3.32,-31.22,-97.1,34.66
ACACT9p,-26.9,2.52,-26.8,-91.1,37.51
ACACtx,0.0,0.0,-1.19,-30.88,28.5
ACALDtm,0.0,0.0,0.0,-29.69,29.69
ACALDtr,0.0,0.0,0.0,-29.69,29.69
ACALDtx,0.0,0.0,-0.0,-29.69,29.69
ACCOACm,35.57,7.7,-14.96,-119.12,89.2
