METABOLITE,REACTION,CONCENTRATION [M]
Lcystin[e],EX_Lcystin[e],9.98978e-05
ala_L[e],EX_ala_L[e],4.99495e-05
aqcobal[e],EX_aqcobal[e],5.01708e-07
arg_L[e],EX_arg_L[e],0.00070018
asn_L[e],EX_asn_L[e],4.99567e-05
asp_L[e],EX_asp_L[e],4.99587e-05
btn[e],EX_btn[e],1.43261e-08
ca2[e],EX_ca2[e],0.00105534
chol[e],EX_chol[e],6.43174e-05
cl[e],EX_cl[e],0.128409
cys_L[e],EX_cys_L[e],9.99829e-05
fe2[e],EX_fe2[e],1.49995e-06
fe3[e],EX_fe3[e],1.23762e-07
fol[e],EX_fol[e],6.00362e-06
glc_D[e],EX_glc_D[e],0.01749
gln_L[e],EX_gln_L[e],0.00249761
glu_L[e],EX_glu_L[e],4.99558e-05
gly[e],EX_gly[e],0.000249767
hco3[e],EX_hco3[e],0.0290204
his_L[e],EX_his_L[e],0.000150169
hxan[e],EX_hxan[e],1.5022e-05
ile_L[e],EX_ile_L[e],0.000415263
inost[e],EX_inost[e],6.99378e-05
k[e],EX_k[e],0.00418243
leu_L[e],EX_leu_L[e],0.000450179
lipoate[e],EX_lipoate[e],5.08894e-07
lnlc[e],EX_lnlc[e],1.49759e-07
lys_L[e],EX_lys_L[e],0.000499589
met_L[e],EX_met_L[e],0.000115542
na1[e],EX_na1[e],0.151223
ncam[e],EX_ncam[e],1.65411e-05
phe_L[e],EX_phe_L[e],0.000214783
pi[e],EX_pi[e],0.000953213
pnto_R[e],EX_pnto_R[e],9.4011e-06
pro_L[e],EX_pro_L[e],0.000149831
ptrc[e],EX_ptrc[e],5.02887e-07
pydxn[e],EX_pydxn[e],9.78895e-06
pyr[e],EX_pyr[e],0.000499818
ribflv[e],EX_ribflv[e],5.8189e-07
ser_L[e],EX_ser_L[e],0.000249786
so4[e],EX_so4[e],0.00040879
thm[e],EX_thm[e],6.43421e-06
thr_L[e],EX_thr_L[e],0.000448707
thymd[e],EX_thymd[e],1.50683e-06
trp_L[e],EX_trp_L[e],4.41659e-05
tyr_L[e],EX_tyr_L[e],0.000213599
val_L[e],EX_val_L[e],0.000451131
