id	filename	md5	size	state
81ac2c46-37db-4dcd-923a-061a7ae626a3	TCGA.ACC.mutect.81ac2c46-37db-4dcd-923a-061a7ae626a3.DR-10.0.somatic.maf.gz	cea18c8b52d7fb505bd36886446d250e	2666716	submitted
0e239d8f-47b0-4e47-9716-e9ecc87605b9	TCGA.BLCA.mutect.0e239d8f-47b0-4e47-9716-e9ecc87605b9.DR-10.0.somatic.maf.gz	d872d906b62c6617c0afa4e32dcbe32d	34215484	submitted
995c0111-d90b-4140-bee7-3845436c3b42	TCGA.BRCA.mutect.995c0111-d90b-4140-bee7-3845436c3b42.DR-10.0.somatic.maf.gz	4a00a1c3611c2ddcb2eed684c451eea7	31058116	submitted
5ffa70b1-61b4-43d1-b10a-eda412187c17	TCGA.CESC.mutect.5ffa70b1-61b4-43d1-b10a-eda412187c17.DR-10.0.somatic.maf.gz	8f32b2421ca4444a2600cc8e15446778	24843170	submitted
c116f412-e251-4192-9bc5-3ce3cfaaa774	TCGA.CHOL.mutect.c116f412-e251-4192-9bc5-3ce3cfaaa774.DR-10.0.somatic.maf.gz	a2b1d2912512ed8fe526eca912e2aff9	1351191	submitted
03652df4-6090-4f5a-a2ff-ee28a37f9301	TCGA.COAD.mutect.03652df4-6090-4f5a-a2ff-ee28a37f9301.DR-10.0.somatic.maf.gz	12682ee538c2caf96e3ca77c7d000b89	65594046	submitted
c3df46a9-85d1-45d4-954a-825313d4a26d	TCGA.DLBC.mutect.c3df46a9-85d1-45d4-954a-825313d4a26d.DR-10.0.somatic.maf.gz	0004d0ace173348526956cf1b0400f96	1640535	submitted
7f8e1e7c-621c-4dfd-8fad-af07c739dbfc	TCGA.ESCA.mutect.7f8e1e7c-621c-4dfd-8fad-af07c739dbfc.DR-10.0.somatic.maf.gz	6f0349b5ee9bb30a7216631da78308df	11164950	submitted
da904cd3-79d7-4ae3-b6c0-e7127998b3e6	TCGA.GBM.mutect.da904cd3-79d7-4ae3-b6c0-e7127998b3e6.DR-10.0.somatic.maf.gz	ba4d05effaea1821aebd9f5609f4fcb1	20417648	submitted
1aa33f25-3893-4f37-a6a4-361c9785d07e	TCGA.HNSC.mutect.1aa33f25-3893-4f37-a6a4-361c9785d07e.DR-10.0.somatic.maf.gz	03eec1f744c029418969a213d8ccc548	25886548	submitted
ddb523ba-29ac-4056-82ca-4147d2e98ddf	TCGA.KICH.mutect.ddb523ba-29ac-4056-82ca-4147d2e98ddf.DR-10.0.somatic.maf.gz	01b847e9b756e2316b1a05a8af4c98b3	784872	submitted
2a8f2c83-8b5e-4987-8dbf-01f7ee24dc26	TCGA.KIRC.mutect.2a8f2c83-8b5e-4987-8dbf-01f7ee24dc26.DR-10.0.somatic.maf.gz	81b35a38974f46f5d22a5d1444bb0790	7119265	submitted
1ab98b62-5863-4440-84f9-3c15d476d523	TCGA.KIRP.mutect.1ab98b62-5863-4440-84f9-3c15d476d523.DR-10.0.somatic.maf.gz	7c5dfe3136824b6421f57c4a0370583b	6341025	submitted
27f42413-6d8f-401f-9d07-d019def8939e	TCGA.LAML.mutect.27f42413-6d8f-401f-9d07-d019def8939e.DR-10.0.somatic.maf.gz	2df8781e007399f3763ba2d5209ce366	2549936	submitted
1e0694ca-fcde-41d3-9ae3-47cfaf527f25	TCGA.LGG.mutect.1e0694ca-fcde-41d3-9ae3-47cfaf527f25.DR-10.0.somatic.maf.gz	6f84855a871513c61d566d994d34de96	8937968	submitted
a630f0a0-39b3-4aab-8181-89c1dde8d3e2	TCGA.LIHC.mutect.a630f0a0-39b3-4aab-8181-89c1dde8d3e2.DR-10.0.somatic.maf.gz	e9ccad73e077c1653b3f5e5d381756bd	13824544	submitted
0458c57f-316c-4a7c-9294-ccd11c97c2f9	TCGA.LUAD.mutect.0458c57f-316c-4a7c-9294-ccd11c97c2f9.DR-10.0.somatic.maf.gz	fd7e2e6086332b2152626264ab6d6d5d	50299539	submitted
95258183-63ea-4c97-ae29-1bae9ed06334	TCGA.LUSC.mutect.95258183-63ea-4c97-ae29-1bae9ed06334.DR-10.0.somatic.maf.gz	bb40da1be5f7fefde818a329cc0048ec	44346082	submitted
88b38a05-e46a-49e1-9c4d-e098709256b1	TCGA.MESO.mutect.88b38a05-e46a-49e1-9c4d-e098709256b1.DR-10.0.somatic.maf.gz	a87b7dca1357d42ffbbbb2189684e00f	1024822	submitted
b22b85eb-2ca8-4c9f-a1cd-b77caab999bd	TCGA.OV.mutect.b22b85eb-2ca8-4c9f-a1cd-b77caab999bd.DR-10.0.somatic.maf.gz	55fb10dd3d1d9ed7767ad6f272d350b7	19728966	submitted
fea333b5-78e0-43c8-bf76-4c78dd3fac92	TCGA.PAAD.mutect.fea333b5-78e0-43c8-bf76-4c78dd3fac92.DR-10.0.somatic.maf.gz	cdddbf7bc36774e85a5033ad1be223ba	6991687	submitted
64e23e2f-ec04-4f6b-82b3-375e2d49804b	TCGA.PCPG.mutect.64e23e2f-ec04-4f6b-82b3-375e2d49804b.DR-10.0.somatic.maf.gz	853d50fa8910f38b7ed4b7d9c4647731	667558	submitted
deca36be-bf05-441a-b2e4-394228f23fbe	TCGA.PRAD.mutect.deca36be-bf05-441a-b2e4-394228f23fbe.DR-10.0.somatic.maf.gz	ec67ca9281d9cc167d9a3ea0f54df141	7615526	submitted
faa5f62a-2731-4867-a264-0e85b7074e87	TCGA.READ.mutect.faa5f62a-2731-4867-a264-0e85b7074e87.DR-10.0.somatic.maf.gz	df0e6a7404d13a4b3f80a350c4582eff	15185535	submitted
cc207fe8-ee0a-4b65-82cb-c8197d264126	TCGA.SARC.mutect.cc207fe8-ee0a-4b65-82cb-c8197d264126.DR-10.0.somatic.maf.gz	3156e9452d2b0e7c2da85729528a08d0	6864973	submitted
4b7a5729-b83e-4837-9b61-a6002dce1c0a	TCGA.SKCM.mutect.4b7a5729-b83e-4837-9b61-a6002dce1c0a.DR-10.0.somatic.maf.gz	e53f990f232210590c9a3624304e2bcf	89383976	submitted
c06465a3-50e7-46f7-b2dd-7bd654ca206b	TCGA.STAD.mutect.c06465a3-50e7-46f7-b2dd-7bd654ca206b.DR-10.0.somatic.maf.gz	e0462a747a83d3f09abb28b83c1b634e	54560201	submitted
6f6a4290-b6be-49f5-be45-97d742957a9e	TCGA.TGCT.mutect.6f6a4290-b6be-49f5-be45-97d742957a9e.DR-10.0.somatic.maf.gz	d8b754219bc992b2736bb17109a7f872	876679	submitted
