RXNID	NAME	FORMULA	SUBSYSTEM	GR RULE	EC NUMBER	KEGG	NOTES	REFERENCES
10FTHF5GLUtl	5-Glutamyl-10Fthf Transport, Lysosomal	1 10fthf5glu[c] --> 1 10fthf5glu[l]	Transport, lysosomal				carrier-mediated transport - but which and how is unknown IT	PMID:11375437
10FTHF5GLUtm	5-Glutamyl-10Fthf Transport, Mitochondrial	1 10fthf5glu[m] --> 1 10fthf5glu[c]	Transport, mitochondrial				mechanism is unknown IT	PMID:11375437
10FTHF6GLUtl	6-Glutamyl-10Fthf Transport, Lysosomal	1 10fthf6glu[c] --> 1 10fthf6glu[l]	Transport, lysosomal				carrier-mediated transport - but which and how is unknown IT	PMID:11375437
10FTHF6GLUtm	6-Glutamyl-10Fthf Transport, Mitochondrial	1 10fthf6glu[m] --> 1 10fthf6glu[c]	Transport, mitochondrial				mechanism is unknown IT	PMID:11375437
10FTHF7GLUtl	7-Glutamyl-10Fthf Transport, Lysosomal	1 10fthf7glu[c] --> 1 10fthf7glu[l]	Transport, lysosomal				carrier-mediated transport - but which and how is unknown IT	PMID:11375437
10FTHF7GLUtm	7-Glutamyl-10Fthf Transport, Mitochondrial	1 10fthf7glu[m] --> 1 10fthf7glu[c]	Transport, mitochondrial				mechanism is unknown IT	PMID:11375437
10FTHFtl	10-Formyltetrahydrofolate Lysosomal Transport via Diffusion	1 10fthf[c] <=> 1 10fthf[l]	Transport, lysosomal				NCD, IT	PMID:11375437
10FTHFtm	10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion	1 10fthf[c] <=> 1 10fthf[m]	Transport, mitochondrial				NCD	PMID:11375437
11DOCRTSLtm	11-Deoxycortisol Intracellular Transport	1 11docrtsl[c] <=> 1 11docrtsl[m]	Transport, mitochondrial				unknown mechanism NJ	
11DOCRTSLtr	11-Deoxycortisol Intracellular Transport	1 11docrtsl[c] <=> 1 11docrtsl[r]	Transport, endoplasmic reticular				unknown mechanism NJ	
11DOCRTSTRNtm	11-Deoxycorticosterone Intracellular Transport	1 11docrtstrn[c] <=> 1 11docrtstrn[m]	Transport, mitochondrial				unknown mechanism NJ	
11DOCRTSTRNtr	11-Deoxycorticosterone Intracellular Transport	1 11docrtstrn[c] <=> 1 11docrtstrn[r]	Transport, endoplasmic reticular				unknown mechanism NJ	
13DAMPPOX	1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)	1 13dampp[c] + 1 h2o[c] + 1 o2[c] --> 1 bamppald[c] + 1 h2o2[c] + 1 nh4[c]	Beta-Alanine metabolism	(26) or (314) or (8639)	1.4.3.6		SAB	PMID:15035803,PMID:8920635,PMID:9653080
1a_24_25VITD2Hm	1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)	1 o2[m] + 1 2425dhvitd2[m] + 1 h[m] + 1 nadph[m] --> 1 h2o[m] + 1 1a2425thvitd2[m] + 1 nadp[m]	Vitamin D metabolism					PMID:6974773
1a_24_25VITD3Hm	1-Alpha-Vitamin D-24, 25-Hydroxylase (D3)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 2425dhvitd3[m] --> 1 h2o[m] + 1 nadp[m] + 1 1a2425thvitd3[m]	Vitamin D metabolism					PMID:15574355
1a_25VITD2Hm	1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 1a25dhvitd2[m] --> 1 h2o[m] + 1 1a2425thvitd2[m] + 1 nadp[m]	Vitamin D metabolism					PMID:6974773
1a_25VITD3Hm	1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D3)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 1a25dhvitd3[m] --> 1 h2o[m] + 1 nadp[m] + 1 1a2425thvitd3[m]	Vitamin D metabolism					PMID:15574355
1MNCAMti	N1-Methylnicotinamide Transport	1 h2o[c] + 1 1mncam[c] + 1 atp[c] --> 1 h[c] + 1 1mncam[e] + 1 adp[c] + 1 pi[c]	Transport, extracellular				IT based on information in Bender, 2003, 2nd Ed., Nutritional Biochemistry of the Vitamins, p. 206	
1PPDCRp	Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal	1 h[x] + 1 1pipdn2c[x] + 1 nadh[x] --> 1 Lpipecol[x] + 1 nad[x]	Lysine metabolism			R02201	MM	PMID:10485319,PMID:10772957
24_25DHVITD2t	24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm	1 2425dhvitd2[c] --> 1 2425dhvitd2[e]	Transport, extracellular					
24_25DHVITD2tm	24, 25-Dihydroxyvitamin D2 Transport from Mitochondria	1 2425dhvitd2[m] --> 1 2425dhvitd2[c]	Transport, mitochondrial					
24_25DHVITD3t	24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm	1 2425dhvitd3[c] --> 1 2425dhvitd3[e]	Transport, extracellular					
24_25DHVITD3tm	24, 25-Dihydroxyvitamin D3 Transport from Mitochondria	1 2425dhvitd3[m] --> 1 2425dhvitd3[c]	Transport, mitochondrial					
24_25VITD2Hm	24R-Vitamin D-25-Hydroxylase (D2)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 25hvitd2[m] --> 1 h2o[m] + 1 2425dhvitd2[m] + 1 nadp[m]	Vitamin D metabolism	(1591)			based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT	PMID:15358094,PMID:8266831
24_25VITD3Hm	24R-Vitamin D-25-Hydroxylase (D3)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 25hvitd3[m] --> 1 h2o[m] + 1 nadp[m] + 1 2425dhvitd3[m]	Vitamin D metabolism	(1591)			based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT; RE2240M	PMID:15358094,PMID:8266831
24NPHte	Transport of Xenobiotic	1 24nph[e] <=> 1 24nph[c]	Transport, extracellular				unknown mechanism, related cyp P450 metabolism reactions NJ. Steriods transported by free diffusion	
25HVITD2t	25-Hydroxyvitamin D2 Transport from Cytoplasm	1 25hvitd2[c] --> 1 25hvitd2[e]	Transport, extracellular				is found in blood --> subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT	
25HVITD2tin	25-Hydroxyvitamin D2 Transport in Cytoplasm	1 25hvitd2[e] --> 1 25hvitd2[c]	Transport, extracellular				is found in blood --> subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemicql	PMID:12045394
25HVITD2tin_m	25-Hydroxyvitamin D2 Transport in Mitochondria	1 25hvitd2[c] --> 1 25hvitd2[m]	Transport, mitochondrial					
25HVITD2tm	25-Hydroxyvitamin D2 Transport from Mitochondria	1 25hvitd2[m] --> 1 25hvitd2[c]	Transport, mitochondrial				is found in blood --> subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT	
25HVITD3t	25-Hydroxyvitamin D3 Transport from Cytoplasm	1 25hvitd3[c] --> 1 25hvitd3[e]	Transport, extracellular				is found in blood --> subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemical	PMID:12045394
25HVITD3tin_m	25-Hydroxyvitamin D3 Transport in Mitochondria	1 25hvitd3[c] --> 1 25hvitd3[m]	Transport, mitochondrial					
25HVITD3tm	25-Hydroxyvitamin D3 Transport from Mitochondria	1 25hvitd3[m] --> 1 25hvitd3[c]	Transport, mitochondrial				is found in blood --> subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT	
25VITD2Hm	1-Alpha-Vitamin D-25-Hydroxylase (D2)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 25hvitd2[m] --> 1 h2o[m] + 1 nadp[m] + 1 1a25dhvitd2[m]	Vitamin D metabolism	(1594)			based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT	PMID:14671156,PMID:9333115
25VITD3Hm	1-Alpha-Vitamin D-25-Hydroxylase (D3)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 25hvitd3[m] --> 1 h2o[m] + 1 nadp[m] + 1 1a25dhvitd3[m]	Vitamin D metabolism	(1594)			based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT	PMID:14671156,PMID:9333115
2AMACHYD	2-Aminoacrylate Hydrolysis	1 h2o[c] + 1 2amac[c] --> 1 nh4[c] + 1 pyr[c]	Glycine, serine, alanine, and threonine metabolism	(10993)		R08698	SAB  see PMID 500639:  this reaction is spontaneous	PMID:500639
2AMACSULT	2-Aminoacrylate Sulfotransferase	1 2amac[c] + 1 nadph[c] + 1 paps[c] --> 1 nadp[c] + 1 Lcyst[c] + 1 pap[c]	Methionine and cysteine metabolism	(6818)			-this is a lumped rxn w/ an inferred reduction rxn that occurs in conjunction w/ sulfotransferase step; this reduction step has to occur in order for the transformation (2amac-->Lcyst) to be valid -used NADPH as electron donor since it is a common cofactor involved in biosynthetic steps utilizing oxygen (see Neema for further explanations)  MM	PMID:3346220,PMID:6351723
2AMADPTm	L-2-Aminoadipate Shuttle (Cytosol/Mitochondria)	1 L2aadp[c] + 1 akg[m] --> 1 L2aadp[m] + 1 akg[c]	Lysine metabolism	(89874)			SAB PMID 11083877	PMID:11083877
2DR1PP	2-Deoxy-D-Ribose 1-Phosphate Phosphorylase	1 h2o[c] + 1 2dr1p[c] --> 1 pi[c] + 1 drib[c]	Pyrimidine catabolism		3.1.3.10		NCD	PMID:9693094
2HBO	2-Hydroxybutyrate:NAD+ Oxidoreductase	1 nad[c] + 1 2hb[c] <=> 1 h[c] + 1 nadh[c] + 1 2obut[c]	Propanoate metabolism	(160287) or (3939) or (3945) or (3948) or (55293) or (92483)	1.1.1.27	R01000	NCD	PMID:10108,PMID:21765
2HBt2	2-Hydroxybutyrate Symport with Proton	1 h[e] + 1 2hb[e] <=> 1 h[c] + 1 2hb[c]	Transport, extracellular	(6566) or (9123) or (9194)			NCD	PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713
2HCO3_NAt	Bicarbonate Transport (Na/Hco3 1:2 Symport)	2 hco3[e] + 1 na1[e] <=> 2 hco3[c] + 1 na1[c]	Transport, extracellular	(57835) or (8671)			MM	PMID:14722772
2MCITt	2-Methylcitrate Transport via Diffusion	1 2mcit[c] <=> 1 2mcit[e]	Transport, extracellular				MM	PMID:426765
2OXOADOXm	2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial	1 nad[m] + 1 2oxoadp[m] + 1 coa[m] --> 1 nadh[m] + 1 co2[m] + 1 glutcoa[m]	Lysine metabolism	(1738) and (1743) and (4967) and (8050)	2.3.1.61	R01933	SAB	
