GENDER,FEMALE
PRIMARY SITE,Breast
HISTOLOGY,Carcinoma
HISTOLOGIC SUBTYPE,Ductal carcinoma
RADIATION AUC,3.05
IC50 DRUG Doxorubicin [uM],
IC50 DRUG Etoposide [uM],
IC50 DRUG Gemcitabine [uM],27.10754222364534
IC50 DRUG Mitomycin C [uM],
IC50 DRUG Vinorelbine [uM],0.1342273869005737
IC50 DRUG NSC-87877 [uM],
IC50 DRUG Bicalutamide [uM],60.74057948559107
IC50 DRUG QS11 [uM],
IC50 DRUG CP466722 [uM],
IC50 DRUG Midostaurin [uM],
IC50 DRUG CHIR-99021 [uM],26.362960140234186
IC50 DRUG Ponatinib [uM],
IC50 DRUG AZD6482 [uM],31.454875657938977
IC50 DRUG JNK-9L [uM],
IC50 DRUG PF-562271 [uM],
IC50 DRUG HG6-64-1 [uM],
IC50 DRUG JQ1 [uM],22.171351887378535
IC50 DRUG JQ12 [uM],
IC50 DRUG DMOG [uM],
IC50 DRUG FTI-277 [uM],
IC50 DRUG OSU-03012 [uM],
IC50 DRUG Shikonin [uM],
IC50 DRUG AKT inhibitor VIII [uM],
IC50 DRUG Embelin [uM],
IC50 DRUG FH535 [uM],
IC50 DRUG PAC-1 [uM],
IC50 DRUG IPA-3 [uM],
IC50 DRUG GSK650394 [uM],
IC50 DRUG BAY-61-3606 [uM],
IC50 DRUG Fluorouracil [uM],120.68900133906047
IC50 DRUG Thapsigargin [uM],
IC50 DRUG Obatoclax [uM],15.137468076874608
IC50 DRUG BMS-754807 [uM],
IC50 DRUG Linsitinib [uM],198.7417016582735
IC50 DRUG Bexarotene [uM],
IC50 DRUG Bleomycin [uM],
IC50 DRUG LFM-A13 [uM],
IC50 DRUG GW-2580 [uM],
IC50 DRUG Luminespib [uM],0.07273569678694196
IC50 DRUG Phenformin [uM],
IC50 DRUG Bryostatin 1 [uM],
IC50 DRUG Pazopanib [uM],
IC50 DRUG Dacinostat [uM],
IC50 DRUG Patupilone [uM],
IC50 DRUG GSK1904529A [uM],64.7967857821054
IC50 DRUG BMS-345541 [uM],72.35973512474423
IC50 DRUG Tipifarnib [uM],
IC50 DRUG Avagacestat [uM],109.8539767704379
IC50 DRUG Ruxolitinib [uM],592.2856290318707
IC50 DRUG AS601245 [uM],
IC50 DRUG Ispinesib [uM],
IC50 DRUG TL-2-105 [uM],
IC50 DRUG AT-7519 [uM],
IC50 DRUG TAK-715 [uM],
IC50 DRUG BX-912 [uM],
IC50 DRUG ZSTK474 [uM],
IC50 DRUG AS605240 [uM],
IC50 DRUG Genentech Cpd 10 [uM],
IC50 DRUG GSK1070916 [uM],
IC50 DRUG Enzastaurin [uM],
IC50 DRUG GSK429286A [uM],
IC50 DRUG QL-XII-47 [uM],
IC50 DRUG IC-87114 [uM],
IC50 DRUG Idelalisib [uM],
IC50 DRUG UNC0638 [uM],11.144275968111645
IC50 DRUG Cabozantinib [uM],
IC50 DRUG WZ3105 [uM],
IC50 DRUG XMD14-99 [uM],
IC50 DRUG Quizartinib [uM],
IC50 DRUG CP724714 [uM],
IC50 DRUG JW-7-24-1 [uM],
IC50 DRUG NPK76-II-72-1 [uM],
IC50 DRUG STF-62247 [uM],
IC50 DRUG NG-25 [uM],
IC50 DRUG TL-1-85 [uM],
IC50 DRUG VX-11e [uM],46.53184886642571
IC50 DRUG FR-180204 [uM],
IC50 DRUG Ricolinostat [uM],
IC50 DRUG Tubastatin A [uM],
IC50 DRUG Zibotentan [uM],
IC50 DRUG Sepantronium bromide [uM],0.10076109098457735
IC50 DRUG NSC-207895 [uM],
IC50 DRUG VNLG/124 [uM],
IC50 DRUG AR-42 [uM],
IC50 DRUG CUDC-101 [uM],
IC50 DRUG Belinostat [uM],
IC50 DRUG I-BET-762 [uM],7.114052120725092
IC50 DRUG CAY10603 [uM],
IC50 DRUG Linifanib [uM],
IC50 DRUG BIX02189 [uM],
IC50 DRUG Alectinib [uM],
IC50 DRUG Pelitinib [uM],
IC50 DRUG Omipalisib [uM],
IC50 DRUG JNJ-38877605 [uM],
IC50 DRUG SU11274 [uM],
IC50 DRUG KIN001-236 [uM],
IC50 DRUG KIN001-244 [uM],
IC50 DRUG WHI-P97 [uM],
IC50 DRUG KIN001-042 [uM],
IC50 DRUG KIN001-260 [uM],
IC50 DRUG KIN001-266 [uM],
IC50 DRUG Masitinib [uM],
IC50 DRUG Amuvatinib [uM],
IC50 DRUG MPS-1-IN-1 [uM],
IC50 DRUG NVP-BHG712 [uM],
IC50 DRUG OSI-930 [uM],
IC50 DRUG OSI-027 [uM],7.522827013777952
IC50 DRUG CX-5461 [uM],
IC50 DRUG PHA-793887 [uM],
IC50 DRUG PI-103 [uM],
IC50 DRUG PIK-93 [uM],
IC50 DRUG SB52334 [uM],
IC50 DRUG TPCA-1 [uM],
IC50 DRUG Fedratinib [uM],
IC50 DRUG Foretinib [uM],9.682779514505883
IC50 DRUG Y-39983 [uM],
IC50 DRUG YM201636 [uM],
IC50 DRUG Tivozanib [uM],
IC50 DRUG WYE-125132 [uM],
IC50 DRUG GSK690693 [uM],
IC50 DRUG SNX-2112 [uM],
IC50 DRUG QL-XI-92 [uM],
IC50 DRUG XMD13-2 [uM],
IC50 DRUG QL-X-138 [uM],
IC50 DRUG XMD15-27 [uM],
IC50 DRUG T0901317 [uM],
IC50 DRUG Selisistat [uM],
IC50 DRUG Tenovin-6 [uM],
IC50 DRUG THZ-2-49 [uM],
IC50 DRUG KIN001-270 [uM],
IC50 DRUG THZ-2-102-1 [uM],
IC50 DRUG AT7867 [uM],
IC50 DRUG Canertinib [uM],
IC50 DRUG Dacomitinib [uM],
IC50 DRUG TWS119 [uM],
IC50 DRUG Torin 2 [uM],
IC50 DRUG Pilaralisib [uM],
IC50 DRUG GSK1059615 [uM],
IC50 DRUG Voxtalisib [uM],
IC50 DRUG Brivanib [uM],
IC50 DRUG Nintedanib [uM],
IC50 DRUG Allitinib [uM],
IC50 DRUG Apitolisib [uM],
IC50 DRUG BMS4 [uM],
IC50 DRUG kb NB 142-70 [uM],
IC50 DRUG A484954 [uM],
IC50 DRUG A832234 [uM],
IC50 DRUG Venetoclax [uM],96.5573372219431
IC50 DRUG Devimistat [uM],
IC50 DRUG CAY10566 [uM],
IC50 DRUG Nelarabine [uM],999.6917685309461
IC50 DRUG Pemetrexed [uM],
IC50 DRUG Alisertib [uM],11.819928938634218
IC50 DRUG Alvocidib [uM],
IC50 DRUG Trichostatin A [uM],
IC50 DRUG Panobinostat [uM],
IC50 DRUG LCL161 [uM],82.42246225922113
IC50 DRUG IMD 0354 [uM],
IC50 DRUG MIM1 [uM],55.52353583724314
IC50 DRUG ETP 45835 [uM],
IC50 DRUG CD532 [uM],
IC50 DRUG NSC 319726 [uM],
IC50 DRUG Filanesib [uM],
IC50 DRUG SB-505124 [uM],215.80106760321416
IC50 DRUG A 83-01 [uM],
IC50 DRUG LDN193189 [uM],
IC50 DRUG Fingolimod [uM],
IC50 DRUG BAM7 [uM],
IC50 DRUG AGI-6780 [uM],142.03095119328705
IC50 DRUG Kobe2602 [uM],
IC50 DRUG LGK974 [uM],311.682487074767
IC50 DRUG Wnt-C59 [uM],268.63994806404037
IC50 DRUG RU-SKI 43 [uM],
IC50 DRUG AICA Ribonucleotide [uM],6822.29360487795
IC50 DRUG Vinblastine [uM],0.10811433007356268
IC50 DRUG Cisplatin [uM],124.16806365488013
IC50 DRUG Cytarabine [uM],14.688501840570883
IC50 DRUG Docetaxel [uM],0.05428675524147561
IC50 DRUG Methotrexate [uM],5.389685314462852
IC50 DRUG Tretinoin [uM],265.83478319470873
IC50 DRUG Gefitinib [uM],79.66624736111918
IC50 DRUG Navitoclax [uM],4.686232712137045
IC50 DRUG Vorinostat [uM],32.099645934588054
IC50 DRUG Nilotinib [uM],5.779845776142389
IC50 DRUG Refametinib [uM],18.60798891379775
IC50 DRUG CI-1040 [uM],147.74857329060117
IC50 DRUG Temsirolimus [uM],0.05491438186606142
IC50 DRUG Olaparib [uM],209.40831367244206
IC50 DRUG Veliparib [uM],126.22007369279943
IC50 DRUG Bosutinib [uM],3.6292898662258533
IC50 DRUG Lenalidomide [uM],85.1567776044154
IC50 DRUG Axitinib [uM],14.779070137865261
IC50 DRUG AZD7762 [uM],0.2799097637710493
IC50 DRUG GW441756 [uM],3.036434605560727
IC50 DRUG Lestaurtinib [uM],0.27811238065968824
IC50 DRUG SB216763 [uM],231.84684434880816
IC50 DRUG Tanespimycin [uM],0.15558781189957885
IC50 DRUG VX-702 [uM],46.132652663374955
IC50 DRUG Motesanib [uM],40.73892403827116
IC50 DRUG KU-55933 [uM],39.87876592876005
IC50 DRUG Elesclomol [uM],0.007846050459316472
IC50 DRUG Afatinib [uM],5.959579947582587
IC50 DRUG Vismodegib [uM],257.73553472920065
IC50 DRUG PLX-4720 [uM],106.22494837456958
IC50 DRUG BX795 [uM],8.006694465991878
IC50 DRUG NU7441 [uM],3.8727660758018256
IC50 DRUG SL0101 [uM],269.48426426034274
IC50 DRUG Doramapimod [uM],138.20636960048273
IC50 DRUG JNK Inhibitor VIII [uM],170.96348573711305
IC50 DRUG Nutlin-3a [uM],396.83159629493156
IC50 DRUG Mirin [uM],128.483051410738
IC50 DRUG PD173074 [uM],10.420458111561256
IC50 DRUG ZM447439 [uM],14.227290693742473
IC50 DRUG RO-3306 [uM],6.0733114501585375
IC50 DRUG MK-2206 [uM],7.550244901351833
IC50 DRUG Palbociclib [uM],83.72980438883432
IC50 DRUG Dactolisib [uM],0.10369358777878407
IC50 DRUG Pictilisib [uM],4.541625556225623
IC50 DRUG AZD8055 [uM],0.42780148974500715
IC50 DRUG PD0325901 [uM],7.50974116648239
IC50 DRUG SB590885 [uM],134.7421564592055
IC50 DRUG Selumetinib [uM],5.185104521934961
IC50 DRUG CCT007093 [uM],151.5776447100698
IC50 DRUG EHT-1864 [uM],40.164479078358795
IC50 DRUG BMS-536924 [uM],12.185186589393297
IC50 DRUG Cetuximab [uM],1153.9417855518623
IC50 DRUG PF-4708671 [uM],64.3418966546428
