GENDER,FEMALE
PRIMARY SITE,Haematopoietic and lymphoid tissue
HISTOLOGY,Lymphoid neoplasm
HISTOLOGIC SUBTYPE,Plasma cell myeloma
RADIATION AUC,
IC50 DRUG Doxorubicin [uM],0.623367528967613
IC50 DRUG Etoposide [uM],9.332547299034749
IC50 DRUG Gemcitabine [uM],0.06987572303578361
IC50 DRUG Mitomycin C [uM],2.0073350568476713
IC50 DRUG Vinorelbine [uM],0.00995909574661126
IC50 DRUG NSC-87877 [uM],86.23662746440792
IC50 DRUG Bicalutamide [uM],96.38301566054734
IC50 DRUG QS11 [uM],66.53226380467412
IC50 DRUG CP466722 [uM],3.794193986439426
IC50 DRUG Midostaurin [uM],2.4763457856029465
IC50 DRUG CHIR-99021 [uM],45.84879880522652
IC50 DRUG Ponatinib [uM],5.2866406164768245
IC50 DRUG AZD6482 [uM],11.766317492823841
IC50 DRUG JNK-9L [uM],0.5063009619740901
IC50 DRUG PF-562271 [uM],12.468332128190939
IC50 DRUG HG6-64-1 [uM],10.727955522025443
IC50 DRUG JQ1 [uM],7.614817346157249
IC50 DRUG JQ12 [uM],8.714384054526612
IC50 DRUG DMOG [uM],221.46465374955028
IC50 DRUG FTI-277 [uM],11.342616459081645
IC50 DRUG OSU-03012 [uM],10.674172088557158
IC50 DRUG Shikonin [uM],0.965299367851848
IC50 DRUG AKT inhibitor VIII [uM],6.02682296248324
IC50 DRUG Embelin [uM],53.93049026102951
IC50 DRUG FH535 [uM],7.04294917956262
IC50 DRUG PAC-1 [uM],23.062801617942604
IC50 DRUG IPA-3 [uM],15.850689484871934
IC50 DRUG GSK650394 [uM],69.12946148235808
IC50 DRUG BAY-61-3606 [uM],7.800641703569671
IC50 DRUG Fluorouracil [uM],108.3234869674832
IC50 DRUG Thapsigargin [uM],0.00355720199359342
IC50 DRUG Obatoclax [uM],2.8861083414585913
IC50 DRUG BMS-754807 [uM],3.4364913689678085
IC50 DRUG Linsitinib [uM],8.010210176504444
IC50 DRUG Bexarotene [uM],49.38595144279196
IC50 DRUG Bleomycin [uM],125.81404707549811
IC50 DRUG LFM-A13 [uM],129.76654131883612
IC50 DRUG GW-2580 [uM],171.43256803731057
IC50 DRUG Luminespib [uM],0.16143107622716152
IC50 DRUG Phenformin [uM],374.17440041676895
IC50 DRUG Bryostatin 1 [uM],0.09317079171728392
IC50 DRUG Pazopanib [uM],77.10475871495927
IC50 DRUG Dacinostat [uM],0.04215955204179894
IC50 DRUG Patupilone [uM],0.01084043667619695
IC50 DRUG GSK1904529A [uM],83.92327595767115
IC50 DRUG BMS-345541 [uM],13.774072215583903
IC50 DRUG Tipifarnib [uM],21.96611414955565
IC50 DRUG Avagacestat [uM],39.69221211255097
IC50 DRUG Ruxolitinib [uM],56.799470301170295
IC50 DRUG AS601245 [uM],8.745138972529146
IC50 DRUG Ispinesib [uM],0.05709424245877527
IC50 DRUG TL-2-105 [uM],12.940539750655228
IC50 DRUG AT-7519 [uM],1.4126169823896144
IC50 DRUG TAK-715 [uM],29.410771947167547
IC50 DRUG BX-912 [uM],10.684028897612498
IC50 DRUG ZSTK474 [uM],1.0849967591180614
IC50 DRUG AS605240 [uM],10.346217562307118
IC50 DRUG Genentech Cpd 10 [uM],3.029722405567257
IC50 DRUG GSK1070916 [uM],4.664193797665447
IC50 DRUG Enzastaurin [uM],22.34994812437864
IC50 DRUG GSK429286A [uM],53.67906100204009
IC50 DRUG QL-XII-47 [uM],3.815691856757674
IC50 DRUG IC-87114 [uM],201.63295699620627
IC50 DRUG Idelalisib [uM],73.45441428521151
IC50 DRUG UNC0638 [uM],10.276533551502359
IC50 DRUG Cabozantinib [uM],14.218742660976682
IC50 DRUG WZ3105 [uM],0.11907699241472129
IC50 DRUG XMD14-99 [uM],41.429077940480624
IC50 DRUG Quizartinib [uM],4.636069886013034
IC50 DRUG CP724714 [uM],89.20695434001014
IC50 DRUG JW-7-24-1 [uM],1.653767469567997
IC50 DRUG NPK76-II-72-1 [uM],3.8663851470644914
IC50 DRUG STF-62247 [uM],40.957133689542324
IC50 DRUG NG-25 [uM],7.677623045723123
IC50 DRUG TL-1-85 [uM],13.123138895693657
IC50 DRUG VX-11e [uM],31.340399997232993
IC50 DRUG FR-180204 [uM],63.662201282835646
IC50 DRUG Ricolinostat [uM],1.5394389009477367
IC50 DRUG Tubastatin A [uM],21.506495375590223
IC50 DRUG Zibotentan [uM],96.63538707831408
IC50 DRUG Sepantronium bromide [uM],0.004599033988687181
IC50 DRUG NSC-207895 [uM],23.611054184123784
IC50 DRUG VNLG/124 [uM],14.01360999653085
IC50 DRUG AR-42 [uM],0.14416439480219098
IC50 DRUG CUDC-101 [uM],0.1365720451909153
IC50 DRUG Belinostat [uM],0.40569201134653515
IC50 DRUG I-BET-762 [uM],18.353788298901662
IC50 DRUG CAY10603 [uM],0.7606332263866729
IC50 DRUG Linifanib [uM],8.92069626357261
IC50 DRUG BIX02189 [uM],36.7938974036213
IC50 DRUG Alectinib [uM],24.413151915153477
IC50 DRUG Pelitinib [uM],3.2609807705684757
IC50 DRUG Omipalisib [uM],0.016718289152099615
IC50 DRUG JNJ-38877605 [uM],112.8787236115867
IC50 DRUG SU11274 [uM],57.94121719653579
IC50 DRUG KIN001-236 [uM],29.92777562925301
