GENDER,MALE
PRIMARY SITE,Haematopoietic and lymphoid tissue
HISTOLOGY,Lymphoid neoplasm
HISTOLOGIC SUBTYPE,Burkitt lymphoma
RADIATION AUC,
IC50 DRUG Doxorubicin [uM],
IC50 DRUG Etoposide [uM],0.1943005678617655
IC50 DRUG Gemcitabine [uM],0.014851565476451323
IC50 DRUG Mitomycin C [uM],
IC50 DRUG Vinorelbine [uM],0.0036151678243831003
IC50 DRUG NSC-87877 [uM],168.81543203644952
IC50 DRUG Bicalutamide [uM],98.20665667721445
IC50 DRUG QS11 [uM],
IC50 DRUG CP466722 [uM],
IC50 DRUG Midostaurin [uM],0.33703145995658335
IC50 DRUG CHIR-99021 [uM],13.069561801141699
IC50 DRUG Ponatinib [uM],0.006471664106906958
IC50 DRUG AZD6482 [uM],2.293325620230724
IC50 DRUG JNK-9L [uM],0.13262747772975908
IC50 DRUG PF-562271 [uM],1.3826763430178048
IC50 DRUG HG6-64-1 [uM],0.10747027298801841
IC50 DRUG JQ1 [uM],0.33584114955199945
IC50 DRUG JQ12 [uM],0.15405694071572595
IC50 DRUG DMOG [uM],36.05350193257854
IC50 DRUG FTI-277 [uM],11.23123796516352
IC50 DRUG OSU-03012 [uM],
IC50 DRUG Shikonin [uM],0.05743226646832544
IC50 DRUG AKT inhibitor VIII [uM],8.15552001140368
IC50 DRUG Embelin [uM],
IC50 DRUG FH535 [uM],
IC50 DRUG PAC-1 [uM],
IC50 DRUG IPA-3 [uM],
IC50 DRUG GSK650394 [uM],
IC50 DRUG BAY-61-3606 [uM],
IC50 DRUG Fluorouracil [uM],37.16282746534407
IC50 DRUG Thapsigargin [uM],
IC50 DRUG Obatoclax [uM],0.7937378785578981
IC50 DRUG BMS-754807 [uM],
IC50 DRUG Linsitinib [uM],19.48153317111456
IC50 DRUG Bexarotene [uM],
IC50 DRUG Bleomycin [uM],
IC50 DRUG LFM-A13 [uM],
IC50 DRUG GW-2580 [uM],
IC50 DRUG Luminespib [uM],0.01436286819900134
IC50 DRUG Phenformin [uM],
IC50 DRUG Bryostatin 1 [uM],
IC50 DRUG Pazopanib [uM],
IC50 DRUG Dacinostat [uM],
IC50 DRUG Patupilone [uM],
IC50 DRUG GSK1904529A [uM],51.02373925436704
IC50 DRUG BMS-345541 [uM],5.986075367623444
IC50 DRUG Tipifarnib [uM],
IC50 DRUG Avagacestat [uM],14.044108724768781
IC50 DRUG Ruxolitinib [uM],44.84365020509908
IC50 DRUG AS601245 [uM],
IC50 DRUG Ispinesib [uM],
IC50 DRUG TL-2-105 [uM],
IC50 DRUG AT-7519 [uM],
IC50 DRUG TAK-715 [uM],
IC50 DRUG BX-912 [uM],
IC50 DRUG ZSTK474 [uM],
IC50 DRUG AS605240 [uM],
IC50 DRUG Genentech Cpd 10 [uM],
IC50 DRUG GSK1070916 [uM],
IC50 DRUG Enzastaurin [uM],
IC50 DRUG GSK429286A [uM],
IC50 DRUG QL-XII-47 [uM],
IC50 DRUG IC-87114 [uM],181.8725196191667
IC50 DRUG Idelalisib [uM],
IC50 DRUG UNC0638 [uM],2.9252179771214792
IC50 DRUG Cabozantinib [uM],
IC50 DRUG WZ3105 [uM],
IC50 DRUG XMD14-99 [uM],
IC50 DRUG Quizartinib [uM],
IC50 DRUG CP724714 [uM],
IC50 DRUG JW-7-24-1 [uM],
IC50 DRUG NPK76-II-72-1 [uM],
IC50 DRUG STF-62247 [uM],
IC50 DRUG NG-25 [uM],
IC50 DRUG TL-1-85 [uM],
IC50 DRUG VX-11e [uM],31.829196579751656
IC50 DRUG FR-180204 [uM],
IC50 DRUG Ricolinostat [uM],1.58510872311191
IC50 DRUG Tubastatin A [uM],
IC50 DRUG Zibotentan [uM],
IC50 DRUG Sepantronium bromide [uM],0.0023843231248892433
IC50 DRUG NSC-207895 [uM],
IC50 DRUG VNLG/124 [uM],
IC50 DRUG AR-42 [uM],
IC50 DRUG CUDC-101 [uM],
IC50 DRUG Belinostat [uM],
IC50 DRUG I-BET-762 [uM],1.567570549237233
IC50 DRUG CAY10603 [uM],
IC50 DRUG Linifanib [uM],
IC50 DRUG BIX02189 [uM],
IC50 DRUG Alectinib [uM],
IC50 DRUG Pelitinib [uM],
IC50 DRUG Omipalisib [uM],
IC50 DRUG JNJ-38877605 [uM],203.84237018706625
IC50 DRUG SU11274 [uM],93.37923526362559
IC50 DRUG KIN001-236 [uM],
IC50 DRUG KIN001-244 [uM],
IC50 DRUG WHI-P97 [uM],
IC50 DRUG KIN001-042 [uM],59.634245620194726
IC50 DRUG KIN001-260 [uM],
IC50 DRUG KIN001-266 [uM],
IC50 DRUG Masitinib [uM],
IC50 DRUG Amuvatinib [uM],
IC50 DRUG MPS-1-IN-1 [uM],
IC50 DRUG NVP-BHG712 [uM],
IC50 DRUG OSI-930 [uM],
IC50 DRUG OSI-027 [uM],26.981487966995864
IC50 DRUG CX-5461 [uM],
IC50 DRUG PHA-793887 [uM],
IC50 DRUG PI-103 [uM],
IC50 DRUG PIK-93 [uM],
IC50 DRUG SB52334 [uM],
IC50 DRUG TPCA-1 [uM],
IC50 DRUG Fedratinib [uM],
IC50 DRUG Foretinib [uM],0.9369999969488608
IC50 DRUG Y-39983 [uM],
IC50 DRUG YM201636 [uM],
