GENDER,FEMALE
PRIMARY SITE,Endometrium
HISTOLOGY,Carcinoma
HISTOLOGIC SUBTYPE,Adenocarcinoma
RADIATION AUC,1.183
IC50 DRUG Doxorubicin [uM],0.01691620907242698
IC50 DRUG Etoposide [uM],1.0652664972306465
IC50 DRUG Gemcitabine [uM],0.02990098069378894
IC50 DRUG Mitomycin C [uM],0.15851453284408762
IC50 DRUG Vinorelbine [uM],0.005710795203211039
IC50 DRUG NSC-87877 [uM],198.9697891732593
IC50 DRUG Bicalutamide [uM],137.82572158801904
IC50 DRUG QS11 [uM],5.854871208690639
IC50 DRUG CP466722 [uM],3.1640599586674
IC50 DRUG Midostaurin [uM],0.6541726313813943
IC50 DRUG CHIR-99021 [uM],5.458417977165875
IC50 DRUG Ponatinib [uM],0.8697495346404615
IC50 DRUG AZD6482 [uM],8.318633512017666
IC50 DRUG JNK-9L [uM],0.3352971920452453
IC50 DRUG PF-562271 [uM],6.2770366619587925
IC50 DRUG HG6-64-1 [uM],0.22649916966589642
IC50 DRUG JQ1 [uM],8.374890474885456
IC50 DRUG JQ12 [uM],1.1657538974511539
IC50 DRUG DMOG [uM],2478.874734249755
IC50 DRUG FTI-277 [uM],5.753325296006084
IC50 DRUG OSU-03012 [uM],2.8718545334779293
IC50 DRUG Shikonin [uM],0.3387137241169968
IC50 DRUG AKT inhibitor VIII [uM],6.877808023873939
IC50 DRUG Embelin [uM],4.500952315259703
IC50 DRUG FH535 [uM],2.0895463813430255
IC50 DRUG PAC-1 [uM],1.5865740404444186
IC50 DRUG IPA-3 [uM],6.75506774345053
IC50 DRUG GSK650394 [uM],1.8818870059230624
IC50 DRUG BAY-61-3606 [uM],2.2756028356397717
IC50 DRUG Fluorouracil [uM],92.09862373592078
IC50 DRUG Thapsigargin [uM],0.0024454429666770487
IC50 DRUG Obatoclax [uM],3.4615033883395916
IC50 DRUG BMS-754807 [uM],1.0929265428190458
IC50 DRUG Linsitinib [uM],86.74050843604782
IC50 DRUG Bexarotene [uM],10.086067337845158
IC50 DRUG Bleomycin [uM],0.7373010425330072
IC50 DRUG LFM-A13 [uM],85.91470484822696
IC50 DRUG GW-2580 [uM],80.66493739445721
IC50 DRUG Luminespib [uM],0.1115069899402296
IC50 DRUG Phenformin [uM],44004.80009419192
IC50 DRUG Bryostatin 1 [uM],0.09387454648138006
IC50 DRUG Pazopanib [uM],3.8016036847172825
IC50 DRUG Dacinostat [uM],0.03215156986812373
IC50 DRUG Patupilone [uM],0.00047941833067158013
