TRANSPORTER	VALUE	SUBSTRATE	BRENDA	INCHI	TEMP	PH	MUTATION	NOTES
SLC2A1	1200	3-O-Methyl-d-glucose		RMTFNDVZYPHUEF-XZBKPIIZSA-N				
SLC2A4	966	3-O-Methyl-d-glucose		RMTFNDVZYPHUEF-XZBKPIIZSA-N				
SLC2A4	567	3-O-Methyl-d-glucose		RMTFNDVZYPHUEF-XZBKPIIZSA-N				
SLC5A1	20	glucose		WQZGKKKJIJFFOK-GASJEMHNSA-N				
SLC6A2	2.8	norepinephrine		SFLSHLFXELFNJZ-QMMMGPOBSA-N				
SLC6A2	0.6	norepinephrine		SFLSHLFXELFNJZ-QMMMGPOBSA-N				
SLC6A4	1	serotonin		QZAYGJVTTNCVMB-UHFFFAOYSA-N				
SLC6A4	0.3	serotonin		QZAYGJVTTNCVMB-UHFFFAOYSA-N				
SLC15A1	130	glycylsarcosine		VYAMLSCELQQRAE-UHFFFAOYSA-N				
SLC15A1	70	ampicillin		AVKUERGKIZMTKX-NJBDSQKTSA-N				
SLC29A1	69	cytidine		UHDGCWIWMRVCDJ-XVFCMESISA-N				
SLC29A1	8	inosine		UGQMRVRMYYASKQ-KQYNXXCUSA-N				
