GENE,ENVISION
AGPS,0.995978
KMT2B,0.931452
DUOX1,0.772166
LCLAT1,0.978247
SLC33A1,1.020570
SLC4A4,0.911087
MARCH7,0.875983
ATP11A,0.868045
USP31,0.988208
NCOR1,0.889269
TICRR,0.930281
RCHY1,0.992859
NCOA6,0.923718
RGL1,0.731445
SYNJ2,0.923622
DGAT1,0.867002
DAPK1,0.932215
ICK,0.942564
B3GNT4,0.783659
TRIO,0.858410
EXT2,0.848631
KMT2D,0.859959
SLC25A1,0.918004
PRKCB,0.824428
NMT1,1.024400
STT3B,0.869086
UBR1,0.941635
FGFR3,0.566351
KAT8,0.792459
ABCG2,0.946121
HYAL3,0.951551
CDS1,0.969559
ALDH1L1,1.022130
CHD9,0.781874
GDPD2,0.978050
BTD,0.956350
STK36,0.916414
GLB1L,0.818399
CHPF,1.054260
ELP3,0.820924
