GENE,ENVISION
CYP2J2,0.951135
MYO3A,0.909817
COLGALT1,0.773907
VARS,0.793107
AOX1,0.991222
EPHA7,0.851668
PLK2,0.842570
EGFR,0.908941
ATP6V1H,0.931917
USP7,1.031800
HIPK2,0.857831
TNIK,0.885628
PTK2,0.828232
UROD,0.780026
USP20,0.770409
WWP1,0.977466
PLA2G7,0.968229
XPO6,0.901600
SLC36A4,0.938493
QPCT,0.878300
VARS2,0.924488
TIAM2,0.892766
UGT2B11,0.978093
TECRL,0.991902
GOT2,0.915880
CPT1C,1.019270
AMY2B,0.952283
PIKFYVE,0.923699
SLCO2A1,0.913934
ABCC4,1.024660
PADI2,0.873385
PLCD1,0.852636
SHMT2,0.908382
TYRO3,0.990725
ENGASE,0.855765
FUT10,0.735183
EIF2AK3,0.951010
RDH11,0.911455
ULK4,0.974119
ABCA1,0.987486
NEU4,0.777258
PTPRM,0.966382
COQ6,0.817954
CPS1,0.866096
ABCC3,1.005240
