GENE,ENVISION
SLC6A3,0.933754
GNS,0.871313
IDI2,0.879763
KAT2A,0.879694
CAT,0.745974
HIPK3,0.901093
USP29,0.877175
ALG11,0.964405
OPLAH,1.071420
RNF31,0.996491
CPA1,0.982718
LPCAT2,0.831493
NT5C1A,1.009610
MGAT5B,0.720931
FLT1,0.830530
SLCO4A1,0.917549
AMT,0.933286
SLC6A14,0.948542
ART1,0.819676
CAMK2G,0.962125
CARS,0.777772
EXTL3,0.808911
HERC1,0.813133
USP31,0.877608
IP6K3,0.950042
CYP1A1,0.873174
ST8SIA5,0.967435
PTPN14,0.860634
SLC23A1,0.868802
HEPH,0.757477
ATP1A3,0.862933
POLRMT,0.927397
MYO5B,0.748013
CFTR,1.005510
ABCA8,0.863154
