GENE,ENVISION
ACVR1C,0.923749
HSPG2,0.956530
H6PD,0.868424
PTPRZ1,0.752031
SULT1E1,0.771885
ADHFE1,0.889707
FKBP3,1.004860
GFPT2,0.803819
ROS1,0.903658
LOXL2,0.986084
EP300,0.878814
BHMT,0.843286
ABHD12,0.938820
SLC34A2,0.710695
TTN,0.903062
SLC8A3,0.914515
PTPRM,0.940047
DGKE,0.980132
PDHA2,0.805328
ENTPD1,0.660347
IL4I1,0.983754
PIGO,0.769810
COX4I1,0.884842
SLC26A8,0.769611
SLC26A9,0.964639
SLC2A10,1.014180
SLC27A1,0.952181
FGFR3,0.921840
CNDP2,0.998838
POLR3A,0.978535
CHST12,0.810984
BMP1,0.828078
MOGS,0.809198
SI,0.474114
HUNK,1.004530
MYBBP1A,0.883769
PAK4,0.855398
KAT6A,0.900221
ECHDC2,0.918335
