GENE,ENVISION
MSMO1,0.884500
MYO3B,0.791852
EPHA8,0.783333
USP6,0.864591
SLC24A2,0.855516
ABL2,0.867795
ASS1,0.801931
AXL,0.984026
EHMT2,0.863799
HKDC1,0.974658
MGAM,0.731503
GK2,0.974426
AFMID,0.953943
PIK3CG,0.967157
PDE7A,0.869091
MYCBP2,0.885374
SLC12A2,0.932239
CHEK2,0.978343
GALT,0.852423
PRKCH,0.896678
ACACA,1.007955
KMT2D,0.917333
IDH2,0.957189
PIGL,0.958419
LPO,0.824878
CHST8,0.906880
SLC25A21,0.964950
USP15,0.830994
ACOT2,0.978575
ATP2B4,1.020060
FUT11,1.008530
GTF2F1,0.961825
PTPRD,0.946703
PTPRB,0.790051
GSTK1,0.838357
