GENE,ENVISION
KARS,0.869306
ACVR1B,0.742985
BIRC6,0.903058
HSPG2,0.814173
PRPF4B,0.837084
MAT1A,0.722850
CAT,0.615331
RBKS,0.992253
UQCRH,0.961207
AWAT1,1.013140
USP20,0.905176
B3GNT5,0.952742
GRHL1,0.868045
PLA2G7,0.862543
HADHB,1.070720
ASPH,1.018130
CHKA,0.842732
CAMK2D,0.910564
SLC12A1,0.841113
TTN,0.766015
IL4I1,0.856458
DGKG,0.954142
TRIO,0.871160
F13B,0.960692
MAN2A2,0.727227
PIGQ,0.831023
AADAC,1.006390
DUSP19,0.763745
PTPN3,0.773907
GMPS,0.936145
INPP5D,0.997917
SLC22A16,0.991819
MYLK,0.841434
CPS1,0.843040
SLC22A1,0.970265
SLC26A4,1.012950
SLC1A7,0.752854
FUCA1,0.855268
