GENE,ENVISION
SLC6A3,1.011330
UBE3A,0.667741
PARS2,0.979073
SLC32A1,0.948954
HSPG2,0.998751
UGT2A1,0.815990
NOX1,0.861664
USP49,0.820969
SLC9A2,0.827272
DPYD,0.668971
GK2,0.742435
FGR,0.923642
GLT8D2,0.858274
SLC47A1,1.011290
TTN,0.891503
MLYCD,0.829145
SH3RF3,0.867701
TTC3,0.886099
PLCB1,0.770926
WNK4,0.947495
KAT2A,0.976223
RET,0.897514
ACOT4,0.894253
ACOT2,0.750382
IDUA,0.860436
UBR5,0.916165
LRP2,0.720832
GALNT15,0.799942
FAAH,0.947337
PXDNL,0.800764
LSS,0.884385
SREBF1,0.908185
UGT2B11,1.057430
