GENE,ENVISION
NADK,0.851026
B4GALNT4,0.871214
MAP4K3,0.885093
NDUFB9,0.854424
SLC7A6,0.873385
CPT1C,0.970680
MARCH2,0.965445
HARS,0.888075
A4GNT,0.913857
NTRK1,0.589360
RPS6KB2,0.966124
PIK3R4,0.957594
DYRK1A,0.865227
TRPM6,0.845902
EYA2,0.823279
ETFA,0.881397
TRIO,0.996536
MAN2C1,0.849706
NAGS,1.003570
HK3,0.975916
WNK4,0.947495
HERC1,0.923796
CYP24A1,1.006360
USP36,0.978930
UBR4,0.945845
LRP2,0.752031
UBE2K,0.766963
LRP1,0.940475
ADCY1,1.004140
COMTD1,1.010760
ROCK2,0.995369
CDK4,1.005190
PXDN,0.898993
BCKDHA,0.744532
TARS,0.980286
PTPRK,0.974283
ABCC2,0.942079
