GENE,ENVISION
CAMK1G,0.757223
CLOCK,0.935984
IPMK,1.045190
POLR3D,1.017960
F13A1,0.965546
UCP2,0.909161
INPP4B,0.828903
SLC36A1,0.975897
SLC12A4,0.917006
SLC6A18,0.981891
UGT2B10,0.970614
LSS,0.646876
ABCB4,0.831618
B4GALT3,0.949988
MTMR3,0.829189
TTN,0.505818
NDUFA5,0.864020
TPST2,0.951602
ATP10A,0.931126
MAN2A2,0.782862
ACSM2B,0.705308
ACSM2A,0.900164
REV3L,0.899662
CYP3A4,0.886990
GALM,0.752854
PIGZ,0.764006
UCP3,1.011830
SLC43A1,0.891729
F2,0.838030
UBE2M,0.970530
ADCY8,0.879809
GLUD2,0.968197
TCIRG1,0.988854
CAMKK2,0.867695
FUT1,0.939834
PTPRH,0.948353
