GENE,ENVISION
B4GALNT4,0.992474
GNPTAB,1.009160
FTMT,0.889960
PTPN3,0.942616
EPHB1,0.865550
NOX5,0.885143
SLC4A9,0.919660
CERS6,0.743924
NEK7,0.988706
PNLIPRP3,0.947185
MET,0.913563
SHPRH,0.839460
USP36,0.982168
NTRK1,0.981323
NTRK2,0.967131
PLCH2,0.982283
AMDHD2,0.814076
TTN,0.712189
ZSWIM2,0.989359
AASDH,0.979450
DGKG,0.874264
SETDB2,0.755278
UGT2B4,0.991773
COPA,0.907057
AMY2B,0.831888
UAP1,1.033060
PDIA4,0.914284
MGAT1,0.872205
STK3,0.859164
PLCD1,0.803977
GPT,0.595566
UBR5,0.815470
TREH,0.861122
SLC41A2,0.978032
TAOK2,0.861290
EIF2AK2,0.808290
RBBP6,0.936595
PTPN14,0.839207
STK31,0.721932
STK33,0.769219
HSD3B1,0.984777
MARS,0.814173
SPEG,0.846153
PXDN,0.924570
