GENE,ENVISION
JAK3,0.979412
MYO3B,0.773049
SLC6A7,0.752354
CYB5R1,0.772755
B4GALNT3,0.947304
HSPG2,0.938316
EGFR,0.795398
MAPK15,0.855682
PTK2,0.937164
HCST,0.744925
GGPS1,0.869945
DUSP22,0.905140
IARS2,0.911245
EHMT2,0.852901
TRAF7,0.916264
INPP4B,0.891905
CIT,0.774254
TTN,0.960125
NT5C1A,0.943321
COPG2,0.849635
GOT1,0.819825
HNMT,0.969249
GBE1,0.954848
PHYKPL,1.016610
USP3,0.938945
KMT2D,0.797906
SLC13A1,0.861517
XYLT2,0.951786
CAMK2A,0.745842
CHST9,0.926199
GPAM,0.926886
MCAT,0.784119
TAOK2,0.963196
PAFAH1B2,0.912200
LRP2,0.952484
SLC26A11,0.983886
GALNT13,0.685310
UBE2O,0.917261
PTPN13,0.910328
RHCG,0.949238
MARCH6,0.869045
HUNK,0.979581
HECW1,0.767475
A4GALT,1.023190
COQ3,0.871649
