GENE,ENVISION
PTDSS1,0.931917
HECTD1,0.787101
SLC4A3,0.873385
ME2,0.764378
EZH2,0.782779
SLC29A1,0.965258
SLC4A2,0.976853
RNF31,1.014180
NCOA2,0.868752
SDR16C5,0.953272
DGKQ,0.688213
PDPR,0.843770
TTN,0.932038
B4GALT3,0.968338
PFAS,0.756128
MAP3K15,0.874153
ASH1L,0.916214
ACACB,0.669778
CUBN,0.987956
ACSS1,0.812577
PARP1,1.022660
CTSE,0.982063
MAST1,0.765266
HERC2,0.718498
ALOX15B,0.997601
USP30,0.950777
UCP2,0.874758
ENPP1,0.989135
IDUA,0.835692
CTSV,0.916272
UBR4,0.787101
LRP2,0.788743
DZIP3,0.900561
SLC22A16,0.922816
DHRS9,0.820019
GAA,0.999335
CLK1,1.017200
ECHDC2,0.902300
