GENE,ENVISION
UBE2Q1,0.881579
AOX1,0.750069
FLVCR1,0.727114
PTK2,0.840531
MARCH10,0.946757
UGT3A2,0.845672
FLAD1,0.916833
HS3ST4,0.843373
GLRX2,0.780868
SLC7A1,0.975079
MAN1B1,0.855075
SLC4A4,0.982025
INSR,0.757381
MTMR14,1.008430
ATR,0.734520
SLC26A4,0.767381
ADPGK,0.924504
SLC30A7,0.973926
ALG12,0.975505
ADPRH,0.891240
HECTD1,0.962914
LOXL2,0.853579
SLC9A2,0.981076
PXDNL,0.939921
ACSM3,1.014690
MIB2,0.983782
AFMID,0.980548
CERCAM,0.752854
NEK8,0.833616
SQLE,0.763968
CYP26B1,0.920078
VNN2,0.793715
EXTL3,0.922532
CDC42BPG,0.752960
GALNT8,0.787341
TTN,0.877731
SLC12A3,1.002570
IRAK2,0.917623
CYLD,0.795865
HSD17B3,0.913999
NT5C1B,0.835816
IGF1R,0.747860
FMO1,0.847925
EXT2,0.970758
EXT1,0.983950
FMO5,0.909981
MTR,0.932738
ATP10A,0.948853
SLC25A1,0.984697
ATP8A1,0.936222
HERC1,0.942214
PPARA,0.953537
MAP3K15,0.844960
MYLIP,0.926760
MGAT5,0.991861
HELZ2,0.826193
SMYD3,0.750977
RNF25,1.012410
TRIP12,0.802521
IDUA,1.018910
DHCR24,0.877628
CES1,0.989571
PTPRU,0.733104
SGK3,0.783258
CSNK1A1,0.715296
PTPN13,0.797677
SLC2A6,0.953883
PARP14,0.758705
ACOX1,0.809460
TAOK3,0.984349
CNDP1,0.733121
SLC6A8,1.081840
CHST4,0.953191
CHKA,0.787213
ABCA8,0.805362
HS6ST2,0.719288
PTPRO,0.940475
ATP6V1C2,0.861121
PXDN,0.778646
