GENE,ENVISION
AGL,0.850248
FTMT,0.902313
USP9X,0.900102
MOCS1,0.718253
L1CAM,1.037792
DUSP21,0.982031
SLC28A2,0.885462
MIB1,0.718498
PIK3CG,0.883218
PIK3R4,0.929424
SPTLC3,0.930872
IRAK1,0.987199
NPR2,0.853767
B3GALT1,0.945018
CAMK2B,0.855840
PIK3C2B,0.819676
PIK3C2A,0.905037
MACROD2,0.917822
CNDP1,0.992970
LMTK3,0.855084
PARP14,0.799702
ACE2,0.780582
MYO3A,0.662764
USP17L2,0.661407
DSTYK,0.769810
NUAK2,0.628094
ATP6V1H,0.846050
POLR1B,0.928610
CYP11A1,0.962887
APOB,0.723878
SLC14A1,0.962017
USP36,0.978930
ABCA4,0.787615
TTN,0.048858
JAK1,0.854985
REG3A,0.940247
GUCY2D,1.018970
TICRR,0.750952
USP37,0.880262
UCK2,1.063230
MCCC1,0.865205
GSTO2,0.906986
RPS6KA4,0.971181
RPS6KA6,0.883508
CBS,0.935843
GPX3,0.897674
SLC26A3,0.907139
ANPEP,0.984697
SLC22A3,0.948169
SLC22A9,0.778422
OTUD5,0.777772
RET,0.819206
SLC2A10,0.977219
SLC4A2,0.921607
SLC4A9,0.977097
CDC7,0.806114
NCOA2,0.895319
ASPG,0.848889
ITPKC,0.942950
NAT2,0.816823
FRMPD2,0.994588
RNF25,0.939872
SRPK3,0.940232
CYP2C9,0.795373
CYP2C8,0.552011
SLC17A8,0.919378
ALK,0.982641
SLC17A7,0.840379
INSR,0.950212
SI,0.247875
ATP1A4,0.614618
ATP1A3,0.740438
ATP1A2,0.960671
NPC1L1,0.572120
EGFR,1.013400
PTPRZ1,0.595246
PLCG2,0.551307
SLC37A1,0.857909
ERBB4,0.774058
CDK12,0.685713
CDK13,0.948991
ACAD11,0.963258
DPYS,0.977527
HSD17B4,0.815440
NOS1,0.806558
CA13,0.714760
ACER1,0.806136
FPGS,0.694752
PLA2G4C,0.817088
ST6GALNAC3,0.864829
LPIN3,1.008060
CA9,0.893784
ARSB,0.834048
HEXA,0.915397
AASS,0.852556
CYP11B2,0.966807
RPN2,0.941939
TGM5,0.961060
HUWE1,0.812015
MARCH6,0.857299
ARAF,0.818750
INSRR,0.692499
ROS1,0.923172
SLC25A10,0.889947
B3GNT7,0.902135
EHHADH,0.750892
DHRS3,0.774647
MAN1A2,0.979579
FGFR1,1.038130
FGA,0.930673
STAMBP,0.929392
HAGHL,0.944020
ATP1B1,0.739165
CHFR,0.977782
PAFAH1B2,0.754599
ALDH1L1,0.974383
HSD3B2,0.858534
PPOX,0.960211
SLC29A4,0.858822
HCCS,0.792502
NEK5,0.988631
MGAM,0.508647
TPST1,0.858718
NEK8,0.933178
TPTE,0.690875
TKT,0.785835
STK24,0.860942
CDC42BPA,0.855682
DPYSL3,0.977520
VNN1,0.983162
GALNT8,0.892242
GALNT6,0.883580
PHEX,0.967197
LARS,0.813133
COMTD1,0.888368
NPC1,0.849903
HS6ST2,0.614174
