GENE,ENVISION
USP17L2,0.763930
STK19,0.917256
TBCB,0.830961
SLC4A7,0.992504
POLR3B,0.761650
PYCR2,0.846479
ACAD10,0.952630
DERA,0.927801
TTC3,0.803058
DLD,0.954071
MAP3K7,0.982627
MAP3K5,0.926222
CDC42BPG,0.707796
CDC42BPA,0.972852
SYNJ2,0.997535
IRAK3,1.009060
CYP27B1,1.020160
TTN,0.920541
ENTPD1,1.016910
BARD1,1.018020
STRA6,0.846243
PRKCE,0.935449
CES3,0.895017
HGD,0.963251
FGFR3,1.007970
CIDEA,1.010690
DEGS1,0.934359
UBE4A,0.974245
TSTA3,0.777772
POLE,0.940475
TCIRG1,0.937568
PTPRE,0.758948
MARS,0.848544
