GENE,ENVISION
TAOK3,0.898005
NAMPT,0.900181
FKBP5,0.855075
SHPRH,0.966424
BCR,0.904110
CP,0.861433
ACSM1,0.784547
ASPH,1.000270
CYB5D1,0.774652
ITPKB,0.745782
TTLL10,0.969380
BDH1,0.839009
EYA2,0.927164
BUB1,0.954515
DBH,0.815467
SLC25A2,0.908527
TPSD1,0.937754
PARP1,1.020630
WARS,0.979403
HERC1,0.791193
RAG1,1.018290
CYP3A5,0.737613
FGFR3,0.913771
RNF19A,0.982267
RPS6KA1,0.947863
TNK1,0.980158
GPT2,0.901842
SUCLA2,0.859438
CYP2E1,0.880516
KIT,0.778021
REV3L,0.900654
BRAF,0.768553
HS6ST3,0.992751
GFPT2,0.976623
CINP,0.956698
