GENE,ENVISION
TRIM33,0.917623
AFMID,0.994067
MKNK1,0.891742
NOS2,0.975411
CKMT1B,0.737020
PLCG2,0.875563
GUCY2C,0.974168
PAM,0.992429
DPEP2,1.014060
SLC14A2,0.899992
QPRT,0.769810
USP33,0.891742
APOB,0.923464
LPIN3,0.965627
EHHADH,0.755527
PRODH2,1.054840
ACSM5,0.485421
SLC25A12,0.879372
TTN,1.060610
NDUFA13,0.944246
SLC47A2,0.878583
GYG2,0.856862
PLCB2,0.825085
PIGC,0.975359
AQP2,0.954501
B3GALT1,0.880453
GUCY2F,0.818125
GLIPR1,0.980264
TECRL,0.908014
SUCLG2,0.861416
PIGQ,0.980330
SSH2,0.992758
ADA,0.982434
SMG1,0.919220
SETD2,0.974036
SRPK1,0.782470
SLC1A6,0.954672
CES1,0.889032
PTPRT,0.992071
TAF1,0.885216
PIK3CD,0.900246
SLC2A2,1.048780
PTEN,0.798115
FUT4,0.894734
HECW1,0.856292
SLC18A3,0.906741
PTPRM,0.886405
