GENE,ENVISION
NDST3,0.924599
TGM5,0.948080
SETD1A,0.974863
INSRR,0.642938
SLC5A8,0.929097
TST,0.775015
DGKZ,0.954569
AASS,0.760166
CDK13,0.776691
GK2,0.831746
FGR,0.895881
SLC12A7,0.828927
GUCY1A2,0.963826
JAK3,0.948458
JAK1,0.888347
DGKB,0.824326
IL4I1,0.906299
MAN2C1,0.919227
PIKFYVE,0.903224
CYP2A13,1.008770
PPP2R2A,0.926236
ACSM2A,0.756162
ENPP3,0.974980
SLC26A7,0.841313
TRIP12,0.764278
EHHADH,0.674844
TAOK1,0.860364
MAN1A2,0.864972
ALK,0.920207
SLC8B1,0.946683
ACSL3,0.930955
HLCS,1.019130
ABCA4,0.944392
SLC22A7,0.762710
HS3ST3B1,0.997733
ATP6V0A2,1.018370
MTRR,0.902538
SLC18A1,0.944165
CHPF,0.862215
PSKH2,0.836343
SLC29A2,0.775656
