GENE,ENVISION
SLC6A3,0.984481
SLC4A10,0.834708
MYO3B,0.826194
CKM,0.879563
ADCY8,0.856438
EPHA5,0.919480
SMYD3,0.860577
SLC2A10,0.982441
PGLYRP2,0.636551
SLCO1B3,0.834993
RRM2,0.912469
LTA4H,0.967335
ACAD10,0.792414
OPLAH,0.790414
SMG1,0.767475
USP48,0.890379
IDH3G,0.924171
SLC9A3,0.914405
CDKL4,0.902169
CDKL3,0.802014
LPCAT4,0.833631
FTCD,0.740701
SLC12A1,0.966526
TTN,0.785866
MTHFS,0.936328
SLC8A1,0.891742
EYA4,0.824054
DOT1L,0.842225
SUOX,0.749624
EYA3,0.983781
ASH1L,0.898059
AADAT,0.886195
AMY2A,0.969817
GUCY2F,0.997898
ATP10A,0.837635
PDIA4,0.947253
CTSD,0.984283
PIGN,0.767808
USP16,0.956142
PLCD1,0.960381
CYP3A4,0.945083
UCP3,0.885921
EHHADH,0.979415
USP35,0.983093
UBR4,0.924392
BMP1,0.981950
DLST,0.980707
PXDNL,0.973360
MST1R,0.677211
GLUD2,0.922695
STK31,0.787232
ELOVL4,0.980209
ATP1A4,0.969560
ABCC8,0.778885
ALOX12,0.866766
