GENE,ENVISION
PLK2,0.869306
EPHA1,0.595689
MGST2,0.849706
SLC25A12,0.840596
ALDOB,0.885639
ACER1,0.969781
UBE3B,0.835035
CTSO,0.831065
MASTL,0.990997
TTN,0.705663
ATP6V1B1,0.918085
B4GALT2,0.580465
KMT2D,0.787288
CUBN,0.988316
HK3,1.021070
DGAT1,0.899872
CDKL5,0.907242
PADI3,0.822295
SLC25A21,0.867557
GC,0.933961
PADI4,0.879103
UBR3,0.841095
CP,1.022190
USP19,0.956718
RNF20,0.833524
TAOK2,0.824103
HAT1,0.891742
CYP27A1,0.984644
PRPF19,0.802521
ATP1A2,0.788560
GPX6,0.769516
SLC18A3,1.011520
SLC1A5,0.802557
CYP11B1,0.974279
CREBBP,0.643646
