GENE,ENVISION
B4GALNT4,0.786086
TGM3,0.717405
HACL1,0.787373
ATM,0.942991
CHSY1,0.802058
IKBKE,0.859541
B3GAT3,0.950514
CWC27,0.957914
SHPRH,0.916188
NCOA6,0.936322
MAP3K4,0.946552
PLA2G7,1.001790
TIAM2,0.933949
PFKL,0.834942
JAK2,0.916315
TTN,1.004760
TH,0.956097
FN3K,0.826465
DOT1L,0.799455
MAPK7,0.982888
KMT2B,0.847701
TBXAS1,0.971765
ULK4,0.769878
PIKFYVE,0.888103
ATP10A,0.897202
WARS,0.864376
UBA6,0.849180
MGAT1,0.872205
MAST2,0.975204
ACADSB,0.922916
FRMPD2,0.818953
SLC27A5,0.784053
GART,0.850438
TYRO3,0.912965
MAST1,0.876519
RHAG,1.010840
HECW2,0.906886
