GENE,ENVISION
ERBB2,0.843711
POLQ,0.855643
CYB5R2,0.978001
EPX,0.951302
SLC25A18,0.742069
ATM,0.859145
GRHPR,0.796442
UBE2D1,0.924442
PRKDC,0.986136
HDC,0.973942
SGMS2,0.768586
ADCY10,0.933156
PYCR2,0.976646
HAL,0.958577
ROS1,0.947901
SAP130,0.780930
ART4,1.005240
PDHX,0.840608
CTSS,0.929182
ACE,0.703476
SLC9A3,0.910807
ACSM5,1.022270
ITPKC,0.855652
SRMS,0.983079
MTMR7,0.798012
EYA4,0.891577
SLC8A3,0.826942
CPT1A,0.890355
LIMK1,0.854330
ART5,0.780601
TICRR,0.829352
APRT,0.918969
CTDP1,1.021490
USP37,0.991997
AARS,0.836548
BUB1,0.994003
PRKD2,0.855398
ADHFE1,0.990765
