GENE,ENVISION
FLVCR1,0.913000
ACADVL,0.926524
TGM6,0.892903
CYP11B2,0.884472
IKBKE,0.982231
CYP4F2,0.873239
USP24,0.832596
TARSL2,0.901444
SQLE,0.982694
DUSP27,0.862218
CYP26B1,0.954534
B3GNT3,0.994073
PRODH2,0.990215
MIB2,0.882336
NTRK3,0.818626
SLC12A7,0.940678
SLC12A1,0.957652
GUSB,0.921333
CTSH,0.789557
MLYCD,0.988856
TRHDE,0.855516
FMO5,0.851577
UAP1L1,0.983251
SLC25A2,0.854843
P4HB,0.914287
PASK,0.977383
SSH2,0.962414
GNPAT,0.799114
CHFR,0.821349
ATP2B3,0.991031
UBR7,0.992708
ATP2B4,0.871299
IP6K1,0.850917
KAT8,0.944223
MKRN1,0.769878
ADCY1,0.853760
MANBA,0.868508
PTPN13,0.786853
PARP14,0.832218
DBH,0.816686
SPEG,0.862193
MYO3B,0.868752
ACSBG1,0.951288
FUK,0.858006
SLC9A4,0.817971
SLC9A5,0.861858
IARS2,0.918737
APOB,0.795937
LRRK1,0.777880
UBR2,0.776295
USP44,0.982316
MGAM,0.719329
PLCH2,0.802923
PC,0.711415
TIAM2,0.982558
TTN,0.347580
PLIN1,0.860897
CHEK1,0.872356
TICRR,0.903243
PIKFYVE,0.992319
HERC1,0.802058
RAG1,0.986118
STT3B,0.983489
PHEX,0.937067
CSNK2A2,0.861535
GYS1,0.893814
ABCG2,0.922323
UBE2O,0.727427
DDR2,0.937289
DDR1,0.963130
HERC2,0.925591
SLC35B4,0.904643
GLB1L,0.704439
CLK3,0.594177
LAP3,0.949046
PRKDC,0.921553
MYLIP,0.907891
POLE,0.894300
CHAT,0.604491
SLC52A1,0.785973
AKR1B10,0.682558
PNPLA2,0.858871
CSF1R,1.028702
CYB5D1,0.870233
POLD3,0.802582
UGT2B11,0.779044
DOT1L,0.601926
SGPP1,0.982649
TGFBR2,0.862679
ACVR2B,0.727114
ACSS3,0.817820
MYLK3,0.790796
CPOX,0.807296
NOL9,0.981455
MERTK,0.960152
LRP1,0.908733
TPTE2,0.961873
MAPK9,0.770062
AK7,0.787815
SI,0.872759
HAS2,1.000540
NPC1L1,0.959912
PPP3CA,0.859164
ASH1L,0.848900
PTPRZ1,0.898918
CCNB1IP1,0.980773
UGT1A1,0.855980
CARNS1,0.877888
AARS2,0.787373
IDH3A,0.670588
PTPN23,0.841313
LPIN1,0.983251
AMHR2,0.963144
WARS2,0.929129
PTPRD,1.008090
NT5C1B,0.833842
WNK3,0.839207
ATP6V1B1,0.622898
EPRS,0.964190
HSD17B4,0.694206
ICK,0.970630
NAGS,1.010040
CUBN,0.970085
SLC13A5,0.842401
USP11,0.896998
KAT6B,0.937806
TRIO,0.968117
ABCC11,0.864873
PTPRR,0.920277
PFKFB3,0.815779
ROCK1,0.750802
PTPRF,0.817507
NKTR,0.902972
PTPRN,0.843373
MUL1,0.953519
SLC1A2,0.814173
ABCC3,0.973598
