GENE,ENVISION
HSPG2,0.806671
EPHA3,0.809166
DHCR7,1.017120
LATS2,0.875539
MAP2K7,0.913661
SSU72,0.909910
NR1D1,0.942407
GRK1,0.987580
BCR,0.726746
KMT2D,0.637905
EHMT2,0.783333
SIN3A,0.860577
PPP1R3A,0.965654
GATM,0.896976
NDST3,0.837639
USP36,0.807793
CDKL3,1.016670
CDK15,1.013110
PTPN5,0.604807
CUBN,0.914786
TTN,0.501022
CDC42BPB,0.680487
ATP10A,0.973474
ALOX12B,1.014000
B4GALT7,1.021260
MYCBP2,0.642793
HUWE1,0.910798
ENTPD2,1.013700
KMT2E,0.934927
LIPF,0.877224
FRK,0.991850
ATP4B,0.805196
WNK4,1.007630
PASK,0.920695
SORD,0.874161
LDLR,0.711066
MACROD2,1.013630
POLR2B,1.000730
ATP2B1,0.932147
STT3B,0.855073
RNF20,0.903552
GALNT2,0.785598
UBR4,0.719643
CHST11,0.867823
LGMN,1.017810
RPS6KA2,0.807292
RIOK1,0.843676
PTPRS,1.027680
GALNT13,0.941636
BMP1,0.852821
GM2A,0.845322
CARS,0.894757
MTFMT,0.903205
FUT6,0.990141
CHST4,1.000690
SLC1A7,0.909817
