GENE,ENVISION
AOX1,0.865498
PTK6,0.869626
LCLAT1,0.852255
PRKAG2,0.881242
EPHA3,0.991000
SLC27A5,0.945576
CASK,0.924121
ATP11A,0.755919
GAD1,0.993967
SERPINA1,0.995379
CERS3,0.847498
PPP1R3A,0.875837
DGKQ,0.971616
INPP4A,0.744102
TBK1,0.814563
TUT1,0.738285
EPRS,0.768675
TRPM7,0.868045
DAPK1,0.917682
ASL,0.955096
ERBB2,0.980505
PUS1,0.774460
ULK1,0.867090
TBXAS1,0.769387
FMO5,0.865923
MAST2,0.903684
MERTK,0.869626
GPT,0.582785
NEK3,0.960122
GALNT13,0.726966
ADCY3,0.848992
CA4,0.949708
CFTR,0.906461
UQCRC1,0.980870
