GENE,ENVISION
GPAT2,0.912239
MOCS1,0.977654
UQCRH,0.864979
CHFR,0.735261
DUSP27,1.009100
SMG1,0.908357
MAP3K4,0.919681
SLC12A5,0.777057
MYCBP2,0.863469
SLC12A3,0.834439
VRK2,0.914545
WNK1,0.818221
GIF,0.815138
SULT1E1,0.793685
USP31,0.982025
INPP5E,0.984552
ADCY2,0.994695
ADCY8,0.861004
USP29,0.865063
SLC7A5,0.863714
GPLD1,0.797677
NOX4,0.913667
NEK5,0.905473
CYP26B1,0.918678
TTN,0.874522
PARP8,0.739411
VNN1,0.908869
PTPN9,0.975377
SLC26A7,0.782168
CHST1,0.989021
GALNT5,0.865101
GALNT2,0.956731
HLCS,0.902912
CAMKK2,0.940657
ELOVL1,0.758177
NSD1,0.982230
GFPT1,0.876844
RNF123,0.771372
POLQ,0.999313
CLOCK,0.842936
EPHA2,0.798436
PRKCSH,0.971717
ATR,0.858920
PKLR,0.601381
NCOA1,0.908192
PDE3A,0.961122
CDKL3,0.871692
POLD1,0.914876
SLC6A18,0.757195
NDUFA7,0.786086
ASH1L,0.978380
F13B,0.807886
PRKAR1B,0.907536
RNF20,0.888166
UHRF2,0.964371
GALNT15,1.013400
GALNT12,0.960107
SLC8B1,0.830493
SLC22A11,0.964203
SI,0.714437
ATP1A4,0.638075
OXCT1,0.708056
NPC1L1,0.987282
PLCG1,0.989727
ATP11A,0.835084
CIT,0.752031
ASAH2,1.002970
PLOD1,1.001260
BRPF1,0.751466
PFKL,0.917112
ZAP70,0.950144
COPG1,0.930355
EPRS,0.879120
LDHB,0.851238
KMT2A,0.956949
CUBN,0.848453
PDIA4,0.977400
CA12,0.862382
PIGN,0.784479
CYBB,0.999188
GANC,0.915791
PADI3,0.827021
ALDOB,0.908539
KAT6A,0.875917
GPT2,0.583217
FAR2,0.863630
PTPRO,0.994466
PTPRM,0.830035
