GENE,ENVISION
CPT1A,1.005270
HECTD1,0.896387
USP3,0.898838
CPT1C,0.992274
USP9X,0.855467
MDH2,0.786086
HEPH,0.916710
SLC9A4,0.923718
LPIN2,0.788267
ECHS1,0.736843
DGAT1,1.010890
TKTL1,0.908948
NTRK1,0.798899
SDR42E1,0.929232
CDK3,0.913514
TTN,0.813133
SLC35A2,0.975263
ITPKC,0.946198
ERN1,1.059790
GALT,0.906698
LIPC,0.976207
HAL,0.848417
CUBN,0.887651
ENPP1,1.002210
SUCLG2,0.860577
NUDT10,0.754390
AADAC,1.010280
PRPS2,0.984107
NT5DC3,0.836426
PAFAH1B2,0.903003
FAAH,0.706800
SGK1,0.988042
SDS,0.968828
GPIHBP1,0.826151
GCH1,0.980167
PPIP5K2,0.993748
PTPRF,0.786678
HERC2,0.997898
HECW2,0.912673
PTPRO,0.997858
RRM2,0.708890
