GENE,ENVISION
SLC4A2,0.848354
RAD18,0.918688
SLC2A12,0.769878
PGLYRP2,0.844052
LATS1,0.775158
NOX5,1.001080
GALNT5,0.941177
ROS1,0.871569
MTHFD2L,0.946398
APOB,0.830857
MGAM,0.774626
GK2,0.811668
NEDD4,0.874758
MARS2,0.747559
SLC34A2,0.852555
SLC12A7,0.903459
PIK3R4,0.961839
TTN,0.661960
TH,0.958679
SUOX,0.518297
LIPC,0.944501
FMO1,0.893001
PARP8,0.839152
AMY2A,0.987446
BARD1,0.965701
CHUK,0.963923
PIK3R1,0.828490
HERC2,0.910601
MVD,0.856404
SMG1,0.919220
ATP2B2,0.865550
PLD6,0.942523
ADCY1,1.007010
G6PC,0.815467
HEPH,0.844953
PTPRN,0.834905
