GENE,ENVISION
SLC4A10,1.006670
GSS,0.952536
COLGALT1,1.012340
MAN2B1,0.859975
MARCH5,0.950603
DHDH,0.781497
ROS1,0.947256
BCR,0.840411
LPIN2,0.789430
RHBG,0.783111
PTPN5,0.720591
ITPKB,0.955124
SPTLC2,0.907914
TTN,0.668695
SYNJ2,0.990071
AARS2,0.824816
DGKE,1.018700
APOB,0.982883
EXT1,0.944043
POLR2E,0.868246
MGAT5,0.924666
UBR2,0.927646
HSD17B2,0.867870
MDP1,0.767475
LRP2,0.930882
ADCY7,0.930927
SLC2A8,0.855075
TUSC3,0.952153
COMTD1,1.010330
MELK,0.833383
SLC22A6,0.928702
CYP2C19,0.907002
SLC22A1,0.957688
GLB1L,0.889404
ACE2,1.017180
RNF217,0.876755
CPS1,0.994697
PADI4,0.779326
