GENE,ENVISION
MUSK,0.962130
ALAD,0.679234
CYB5R2,1.005000
HSPG2,0.934824
BMP2K,0.812226
RIPK1,0.878817
UST,0.940314
ACAD10,0.841047
NCOA3,0.975988
UROC1,1.006430
SIK2,0.803218
CDKL5,0.933630
TKTL1,1.017230
PIK3CD,0.912714
GCLC,0.952101
MAP3K4,0.838897
MAP3K5,0.975061
TFRC,0.914137
UGT2B10,0.997926
TTN,0.596096
PJA1,0.803785
DPM1,0.945098
TGFBR2,0.969444
KMT2A,0.936559
TPST1,1.017540
WNK2,0.791627
AUH,0.964794
MYLK4,0.792973
PRKCB,0.789616
SLC24A3,0.872548
ACSM2B,0.761479
USP38,0.973044
HELZ2,0.852098
USP7,0.802521
UBR4,0.983886
DEGS1,0.925203
PTPRT,0.899717
SLC17A8,0.761579
G6PD,0.882483
PTPN14,0.865555
CTDP1,1.024240
BRAF,0.768553
HECW2,0.838699
PTPRO,0.855073
ATP6V1C2,0.937580
ABCA8,0.984865
