GENE,ENVISION
MYO3A,1.005330
B4GALNT4,0.925057
SPHK2,0.959894
PCBD2,0.869306
LYPLA1,0.846924
FKBP4,0.953975
DDOST,0.986957
MIB2,0.858722
MAP2K5,0.946236
ALG1L,0.986305
SLC6A3,0.981094
MAP3K1,0.900220
TKT,0.973702
CASK,0.841021
PPP2R3B,1.000400
AMDHD2,0.769387
SPTLC3,0.989761
DOT1L,0.979308
PYGL,0.964139
REG3A,0.959453
NDUFA2,0.917664
TNKS,0.842271
PGM1,0.865995
ZC3HAV1,0.911616
REV3L,0.917372
PHGDH,0.845783
ATP2B1,0.862469
GALNT6,1.012050
DUSP10,0.914629
UBR5,0.982778
GALNT13,0.640247
PARP14,0.803939
CREBBP,0.936776
