GENE,ENVISION
B4GALNT4,0.920061
CBLC,0.937360
UBE2Q2,0.832954
EPX,0.805997
SLC6A9,0.978073
UGT3A1,0.999595
PIGB,1.007990
AGXT2,1.014490
SLC5A1,0.974237
DYRK2,0.898518
SLC4A9,0.923552
SMURF1,0.976876
CERS3,0.774626
XPO6,0.907958
USP41,1.012170
CSNK1E,0.948791
TTN,0.973661
PIK3R1,0.611957
PYGM,0.852168
ZC3HAV1,0.781666
PTPRN2,0.822295
ASH1L,0.937738
EXT1,1.021960
REV3L,0.998219
GC,0.920151
HPGDS,0.953568
CYP4A11,0.933745
TPTE2,0.756182
SLC2A6,0.796204
AK1,0.987754
PFKFB2,0.921965
CFTR,0.899993
PDK1,0.789083
MGAT4C,0.929311
HS6ST3,0.979591
SLC18A1,0.973051
PSKH2,0.961404
SLC22A9,0.984895
ACVR1C,0.666135
