GENE,ENVISION
STYK1,0.982814
DHFR,0.837032
AMPD2,0.839356
HSPG2,0.987889
SLCO1B1,0.967380
ARAF,0.956810
SFXN3,0.973875
CYP4F3,0.821563
ALDH1A2,0.923260
SLC10A1,0.925742
UGT1A7,0.959658
APOB,0.998871
GCNT3,0.988147
ECH1,0.895830
MGAM,0.767808
RHBG,0.812961
ASPH,0.933100
ITPKA,0.904532
GATM,0.844210
TTN,0.922268
KMT2C,0.982441
ALG1,0.988332
HAL,1.022410
ACACB,0.789079
ACSS3,0.961704
ACSF3,0.940150
ENPP3,0.848786
PIGQ,0.922876
LDLR,0.671252
PADI2,0.765266
BLK,0.982590
PTPRN,0.863549
SRPK3,0.971881
AOAH,0.758177
ARG1,0.872845
KAT7,0.818221
NKTR,0.894069
AGPAT1,0.754599
MYO5B,0.988387
