GENE,ENVISION
HECTD1,0.861177
DCXR,0.948356
MKNK1,0.932997
PRKAA1,0.913622
PRKDC,0.962414
FKBP5,0.858001
SLC4A7,0.881725
RNF31,0.817740
PTPN23,0.855075
NCOA1,0.853689
ITPKC,0.914192
MAP3K4,0.812659
VARS2,0.843899
FIG4,0.848816
GLT8D1,0.934681
NNT,0.860577
HSD11B2,1.015810
PHKG1,0.932496
PLCB1,0.849331
KMT2A,0.929891
ATM,0.861870
PARP9,0.904942
KMT2E,0.742782
ELOVL1,0.936497
YARS2,0.781623
STK3,0.818702
SETD2,0.974686
GALNT1,0.862469
MCCC1,0.846277
DDR2,0.718707
HIGD2A,0.983005
RNF149,0.993934
PTPN13,0.940092
POMGNT1,0.961198
SLC14A2,0.916516
PPCS,0.907145
