GENE,ENVISION
RFWD2,0.888962
CYB5R2,0.951780
HIPK1,0.864262
GAL3ST3,0.946938
USP24,0.869045
FUK,0.983217
CERS5,1.043960
DPYD,0.980828
USP45,0.945890
SLC27A1,0.948757
PIK3R5,0.935216
USP32,0.923067
RIOK2,0.975579
LIPE,0.892262
WNK1,0.855814
GMPPA,0.814173
PLCD4,0.907699
USP15,0.901466
GALNT6,1.001370
ABHD6,0.978283
INPP5F,0.786018
SLC39A7,0.901366
LRP2,0.860290
TNK1,0.910412
LRP1,0.780988
TLK1,0.787101
ALK,0.950042
ADCY2,0.910371
PIPOX,0.824613
EIF2AK1,0.786614
SUCLA2,0.764378
AK7,0.816145
PTPRK,0.854960
PRKD1,0.956350
HIRIP3,0.841783
