GENE,ENVISION
KARS,0.956949
COLGALT1,0.924514
PARS2,0.816753
PPP2R3B,0.752854
ATM,0.869992
MGLL,0.842870
PRKDC,0.801578
USP9X,0.865299
AKT3,0.594503
CWC27,0.973010
USP42,0.851805
SLC4A9,0.953754
NEK11,1.012310
DPEP2,0.976606
TOPORS,1.019310
PTPN21,0.914895
RWDD2A,1.008610
CDK10,0.854838
SLC36A1,0.834856
PFKP,0.864566
CYP26B1,0.918034
PDPR,0.790907
GLT8D1,0.775068
COPG1,0.964323
DGKB,0.918874
TAOK3,0.901643
B3GALT5,0.915794
KMT2A,0.940811
SLC7A5,1.010390
AUH,1.053960
RNF152,0.977504
ACE2,0.857942
PHLPP2,0.836745
SMG1,0.835084
GALNT6,0.971321
CTDP1,0.912498
ROR2,1.019800
USP36,0.882255
UBR4,0.931617
SEC11C,0.887354
MOGS,0.979722
MAP3K15,0.625319
GLB1L,0.771810
HAO1,0.778646
NRF1,0.869045
