GENE,ENVISION
ZCCHC11,0.923748
UBE2Q2,0.803613
AGK,0.848229
PHOSPHO1,0.858639
POLG2,0.918722
P4HA3,0.977464
HIPK1,0.662940
PPWD1,0.933330
SQLE,0.874758
DUSP27,0.923368
CYP3A43,0.892899
OGDH,0.594465
SMG1,0.415415
STK26,0.981420
HKDC1,0.748960
SLC28A3,0.907081
TKTL2,0.917722
CYP46A1,0.873797
ITPKC,0.804180
PLCH1,0.619319
SPTLC3,0.860875
ZSWIM2,0.967647
ABCD2,0.829739
STK11,0.863836
MAN2C1,0.726904
SLC38A3,0.973349
CAMK2D,0.588979
CAMK2G,0.675204
CAMK2A,0.973288
PPP2R2B,0.865950
PAN2,0.641891
STK3,0.564548
FAM65A,0.970605
CNDP1,0.672527
PIGW,0.755898
PARP14,0.738668
PPIP5K1,0.535220
ACE2,0.594192
MYO3A,0.735261
KCNJ8,0.912217
DSTYK,0.752854
UBE2D4,0.763957
POLR1B,0.803597
ENGASE,0.773006
TPK1,0.945303
PANK1,0.904038
PANK4,0.733077
XPO6,0.748794
USP36,0.815467
TTN,0.040083
DIO2,0.971838
GDPD2,0.973485
GUCY2D,1.060980
TICRR,0.691681
MINK1,0.985962
CSGALNACT2,0.755919
MCCC2,0.800112
MCCC1,1.019360
RPS6KA1,0.815742
TNK1,0.789049
PDE4C,0.837090
SULT4A1,0.908136
RPS6KA6,0.673412
PISD,0.931355
PRKD1,0.820626
SLC22A6,0.989876
SLC22A7,0.784393
GPX7,1.017670
GFPT1,0.864972
SLC22A8,0.860147
SARS2,0.941983
CYP4F11,0.972759
MIA3,0.972821
OTUD5,0.710223
SLC2A14,0.636139
SLC2A11,0.754168
PRKDC,0.852287
SLC4A5,0.907298
POLE,0.919957
MKRN2,0.852052
SLC4A8,0.677976
NCOA2,0.605623
PHEX,0.773838
ALG1L,0.844677
ASPH,0.985410
ENOPH1,0.893817
PLCL2,0.766825
MYLK3,0.799590
FRMPD2,0.917216
SLC27A5,0.845189
SLC27A4,0.865920
ALG12,0.871197
ALG13,0.514921
RNF20,0.840443
ALK,0.691389
SLC17A4,0.834719
AK7,0.935668
RBBP6,0.767521
MDH1B,0.716518
ABCA4,0.773216
CCBL1,0.619588
NPC1L1,0.718466
PRKD2,0.903822
SGMS2,0.806635
B4GALNT4,0.744706
SPHK2,0.775769
SPHK1,0.759366
B4GALNT1,1.010890
B4GALNT3,0.735282
