GENE,ENVISION
SAT2,0.989524
BIRC6,0.811668
SLC2A14,0.934289
SLC4A5,0.904587
PLCB4,0.880418
POLI,1.010790
DPYD,0.911741
TKTL2,0.925452
CYP46A1,0.902487
CPA6,1.020040
NTRK3,1.010530
FASTK,0.803720
ACSM2B,0.962526
DUOX2,0.976506
TTN,0.440568
TECRL,0.950117
AQP10,0.958277
SIRT1,0.781460
PPP2R3A,0.886641
PARP8,0.889211
ENPP2,0.771105
SLCO2A1,0.926958
CSNK1G3,0.997488
PLA2G2D,0.993360
ADSSL1,0.791193
CNDP1,0.926674
ROR1,0.920218
SLC17A8,1.012730
GALK2,0.938694
ADCY2,0.987390
DDR2,0.590828
MGAT4C,0.791852
STAMBPL1,0.893209
MYO5B,0.972666
DECR1,0.784180
PRKD1,0.826848
