GENE,ENVISION
KMT2C,0.837135
ALG8,0.930066
ME3,0.910730
EPHA10,0.858464
CYP4F8,0.903206
TNIK,0.869086
EZH2,0.867198
ADCY10,0.942957
B3GAT1,0.744239
DERA,0.929372
EXT2,0.842497
SHPK,0.977834
XPO7,0.933130
WARS2,0.782375
SLC12A5,0.831003
ITPKC,0.661351
SLC5A11,0.944868
TTN,0.361191
AURKC,1.002640
DGKD,0.763124
BCO1,0.909675
FMO2,0.991222
KMT2A,0.895691
CYP4Z1,0.856853
ERBB4,0.579982
XYLT2,0.873127
PLCL2,0.699896
ACSM2A,0.909611
HERC1,0.770321
PLCD4,0.853636
PLB1,0.757145
USP36,0.850073
CHST11,0.927868
NOX1,0.752854
GALNT14,0.864563
ST8SIA4,0.814173
ACSL6,0.849039
ABCA4,0.933311
HS6ST3,0.813133
NSD1,0.888996
FUT9,0.750770
