GENE,ENVISION
B4GALNT4,0.735261
DSTYK,0.854424
USP4,0.573243
POLE,0.915034
SPRYD3,0.793571
ADCY10,0.768905
DUSP27,0.735261
USP33,0.795488
OLAH,0.983903
MAP3K1,0.855398
WARS2,0.928150
USP40,1.022740
SLC36A1,0.995742
USP42,0.908931
SLC12A6,0.908353
MTPAP,0.904500
CDC42BPA,0.951679
GBA2,0.767808
SLCO4A1,0.758012
MARK1,0.850983
ASH1L,0.856804
TARS2,0.735261
PARP4,0.860036
MAST2,0.798066
CYP24A1,0.863178
PAPOLG,0.777294
BDH2,0.914466
BRSK2,1.011620
LRP1,0.923844
TBL1XR1,0.860482
RNF123,0.782595
PPIL2,0.823304
AGPAT4,0.949462
GPX7,0.716944
MYO5B,0.935209
PTPRK,0.764008
NPC1L1,0.831874
PAK2,0.930051
