GENE,ENVISION
AOX1,0.943833
PTK2,0.814687
RFWD3,0.879050
HSD17B14,0.953635
WWP1,0.866101
PAOX,0.989302
BIRC6,0.776042
KMT2A,0.842153
SLC27A5,1.009950
POLE,0.987319
SETD1B,0.910514
MGAT5B,0.765266
NEK6,0.981595
QPRT,0.849706
PPP1R3C,0.967174
MAP3K2,1.002180
USP34,0.936064
UHMK1,0.850902
WHSC1L1,0.903466
ATP5S,0.732551
COPG2,0.886354
CDC42BPB,0.895776
TTL,0.977607
DGKB,0.885065
SLC47A2,0.851560
MCEE,0.951470
ASH1L,0.850276
PIKFYVE,0.947687
ACSM2B,0.712681
MAST1,0.755141
PDP2,0.788050
UBR3,0.995747
SMG1,0.922174
EP300,0.862852
RNF19B,0.849346
PLA2G4D,0.784588
STK32C,0.825934
TNK2,0.959574
LRP1,0.841650
PARP12,0.967500
ACSL5,1.014990
CDK12,1.028790
STK39,0.842271
ABCC2,0.867590
