GENE,ENVISION
PCK2,0.789384
MARCH10,0.982165
UBE2Q2,0.813133
ALG2,0.982404
PLCB2,0.786853
AGXT2,1.013530
MARCH4,0.929073
NMNAT3,0.900504
KYNU,0.795337
ACSM1,0.998632
OLAH,0.781201
NDST4,0.832751
NEK8,0.933178
USP22,0.952578
SLC12A5,0.972587
ECH1,0.631977
CYP4X1,0.859162
CES5A,0.751668
TTN,0.498688
TNS2,0.976147
ASH1L,0.908470
LIPG,1.010950
WNK3,0.912363
PLCL1,0.972821
SLC25A21,0.932409
HELZ2,0.976143
MOGAT1,0.964008
SLC15A2,0.863657
USP31,0.997240
PRKDC,0.857168
ROR1,0.947086
UBR4,0.766123
LRP2,0.895204
CYP24A1,0.961778
ADCY1,0.856046
TLK2,0.847749
PSAT1,0.935519
SLC27A6,0.925556
SLC22A9,1.008610
