GENE,ENVISION
POLA2,0.769810
RFWD3,1.007590
USP17L2,0.886521
UGT3A2,1.010960
PGLYRP2,0.801889
SLCO1B3,0.978754
LPPR4,0.961751
POLR3B,0.763930
SLC25A19,0.743173
TRIB3,0.765664
MOXD1,0.758177
PIM2,0.979994
PTPN23,0.974150
PTPN21,0.977807
TRHDE,0.814781
CDK12,0.869449
TTN,0.798241
DGKB,0.980634
PARP8,0.850408
ATP6V0A2,0.947834
ERBB4,0.722569
TRMT11,0.791514
CAMK2B,0.949600
ACSM2B,0.932429
MIA3,0.975888
ABHD6,0.928000
PXYLP1,0.976260
TNK2,0.903360
INPP5F,0.898563
CYP8B1,0.829330
SLC7A11,0.977625
RDH10,0.855968
STK36,0.936295
PRKD1,1.016530
