GENE,ENVISION
SPHK2,0.908096
EPHA7,0.791805
ATM,0.865177
PRKDC,0.983740
HIPK2,0.857184
PTK2B,0.883300
AS3MT,0.966582
GCNT4,0.925210
UROC1,0.860383
NTRK3,1.024700
DPYS,0.777598
TTN,0.614189
ACOT11,0.917310
FANCL,0.923718
ASH1L,0.814401
SIRT7,0.957275
TSSK3,0.759907
ACSS3,0.866798
DOT1L,0.807949
SLC13A4,0.784868
MAN2A1,0.954561
PLCL1,0.989915
PIGS,0.973242
SSH3,0.803445
TNS2,0.743710
ALG10,0.854375
USP34,0.777866
RNF19A,0.958103
LRP1,0.759519
INPP5F,0.930942
SLC2A6,0.855075
METTL3,0.758452
POLE,0.940575
RBBP6,0.662936
MAP3K10,0.936920
STAMBPL1,0.795911
MINPP1,0.782747
USP22,0.779888
FUCA2,0.796554
