GENE,ENVISION
MYO3A,0.991222
AOX1,0.948991
PTDSS2,0.775372
MAP3K1,0.857831
ACVR1,1.010870
UBE3A,0.908456
CAMK1G,0.978534
B4GALNT3,0.995058
PDE3A,0.857028
PLK3,0.964491
PLK2,0.754599
FKBP5,0.934968
POLE,0.754599
GPLD1,0.908604
ATR,0.691940
CDC42BPG,0.849158
SLC29A1,0.909698
IKBKE,0.871980
SH3RF2,0.716740
DUSP22,0.905140
AMHR2,0.890987
PLA2G3,0.945041
GAD2,0.570591
USP36,0.888763
PAPOLG,0.825523
PLCB4,0.861177
SLC9A2,0.852756
PDE1C,0.830708
CHIT1,0.965852
RHBG,0.909115
NDST4,0.838451
CAMK4,0.832581
USP43,0.862851
CNDP1,0.921529
GUCY1A3,0.767446
PLCH1,0.859057
PIK3R3,0.790115
TTN,0.942166
USP15,0.769009
TRMT1,0.955802
DGKB,0.906612
TRPM6,1.027850
SLC8A2,0.835084
NUAK2,0.969342
EYA3,0.982601
NLN,0.908705
PTPRN2,0.980541
PLCB1,0.870757
COL4A3BP,0.926349
TRHDE,0.828894
TIAM2,0.915327
RNF128,0.843496
PGM2,0.947810
HERC3,0.867757
MAP3K9,0.799103
PARP2,0.998278
HELZ2,0.978689
ASAH2,0.752854
PRKCQ,0.764092
STT3B,0.938388
USP32,0.766837
ATP2B2,0.919679
IP6K3,0.966996
MARCH10,0.967745
TRAF7,0.784280
GALNT13,0.650227
ZNRD1,0.957281
INPP5D,0.807430
ALK,0.952804
SLC2A9,0.922886
PARP16,0.719288
EIF2AK3,0.768133
PPIL2,0.871160
MLK4,0.780225
NPC1L1,0.971353
ABCA4,0.970312
HECW1,0.869306
FUT9,0.981409
HS6ST3,0.883431
SLC27A6,0.916532
SIN3A,0.777772
PDE4D,0.747310
PARP14,0.826652
PXDN,0.853689
FAAH2,0.930106
