GENE,ENVISION
MYO3B,0.839207
CA5B,1.013970
RPE65,0.863301
USP4,0.908076
KAT2B,0.829743
PRDX1,0.998442
HIPK2,0.892040
ATP11C,0.810821
USP28,0.765266
TOPORS,0.806441
PAN2,0.920748
UBE3B,0.854033
NDST4,0.868859
PIK3R5,0.792082
TIAM2,0.911052
SLC12A6,0.839393
SLC12A1,0.923157
TTN,0.525198
SRD5A3,1.054330
ATP1B4,0.717671
SULT2A1,0.575573
HMGCS1,0.881155
SLC14A1,0.885774
PIGG,0.914475
CYP4V2,0.986237
RPUSD4,0.922830
PLB1,0.865470
EHHADH,0.693595
PDE10A,0.866101
TYRO3,0.972034
PTPRU,0.778589
ETNPPL,0.776728
SLC23A2,0.981369
PXDN,0.874758
PRKD1,0.976442
FUT9,0.999541
