GENE,ENVISION
MYO3A,0.767475
HECTD2,0.860577
HECTD1,0.862469
PGM2L1,0.913680
BIRC6,0.847403
ATM,1.046860
SLC4A7,0.901313
SGMS2,0.913680
POLK,0.940054
SETD2,0.914945
CHD9,0.974225
SLC7A9,1.015270
NPAS2,0.909681
CDKL3,0.859784
MAP3K5,0.903702
ECH1,0.995049
TTN,0.753821
TRPM6,0.859256
USP37,0.970849
UGGT2,0.917488
SPTLC3,0.976570
SIRT5,0.623802
WNK3,0.946846
WNK1,0.966397
PPP2R2B,0.918613
MERTK,0.953926
SLC26A8,1.063750
PIGO,0.956810
SETD5,0.842471
STK17A,0.963681
RIOK2,1.020180
UBE4A,0.852466
GALNT15,0.987689
LMTK3,0.838405
SLCO4A1,0.945496
CDK12,0.867172
FUT2,0.753495
MGAT4C,0.980896
TPSD1,0.757592
PDE4C,0.974789
PTPRK,0.893303
RARS2,0.909626
