GENE,ENVISION
FKBP10,0.855075
CDK12,0.719288
SLC13A5,0.936094
HUWE1,0.780220
USP7,0.947982
RIPK1,1.000430
PTK2B,0.950660
USP29,0.856848
CYP2S1,0.853330
PDE11A,0.812159
DGKZ,0.951332
EHMT2,0.935413
KMT2E,0.843708
LHPP,0.752684
HIF1AN,0.850902
AMHR2,0.824870
UHMK1,1.006970
MAP3K4,0.782662
NEK9,0.772704
SLC5A12,0.931316
DGKH,0.790414
CES5A,0.778828
TRMT1,0.776436
NLN,0.876519
KAT8,0.721427
ASH1L,0.684374
ENTPD4,0.868045
ULK4,0.791852
PARP4,0.995236
PIGM,0.803445
XYLT1,0.828779
RPUSD4,0.980408
HERC3,0.920275
CHD9,0.922329
ST6GALNAC3,0.930308
TAOK2,0.843373
ITK,0.823682
LRP2,0.833920
GALNT15,0.986283
ALK,0.900245
ABCG8,0.863887
MTHFD1L,0.926079
SLC7A10,0.860750
USP10,0.909175
EPT1,0.919094
PTPN13,0.866603
ABCA3,0.877409
ACE2,0.806848
PAK6,0.995539
COQ6,0.841433
