GENE,ENVISION
ZCCHC11,0.755367
MYO3B,0.778646
HACL1,0.981085
HSPG2,0.900561
CPT1C,0.842007
USP7,0.862469
LATS2,0.867395
GNE,0.824955
B3GNT4,0.785192
ACER3,1.008080
UBE3C,0.854838
USP36,0.857617
USP43,0.960285
DGKH,0.822002
SLC12A6,0.915005
TTN,0.777733
UBR4,0.644322
HEXDC,1.018060
PLCB2,0.975480
TICRR,0.860126
PEAK1,0.978559
ACSM2A,0.806068
SSH2,0.828984
AGMAT,0.907508
SLC26A9,0.816993
USP34,0.675560
IP6K1,0.948046
GPHN,0.884085
DOT1L,0.631595
LMTK2,0.907466
PTPN14,0.828894
MAP3K12,0.882419
FKBP3,0.898773
KAT6B,0.801462
