GENE,ENVISION
SLC6A3,0.961293
BIRC6,0.944415
PTK2B,0.872393
USP24,0.895595
CBX1,0.855544
DUSP27,0.995943
SLC9A4,0.978171
PNPLA3,0.984020
NEK5,0.859030
SLC34A1,1.007940
SLC12A7,0.981582
SLC12A1,1.014990
TTN,0.851026
ABCC11,1.017020
EYA1,1.021160
ZCCHC6,0.936601
PTPRN2,0.787297
MTMR3,0.984526
PLXNB3,0.744925
SLC13A4,0.711045
MYLK3,0.791901
ENTPD8,0.992873
TGS1,0.876286
DUSP13,0.820921
UBR4,0.904871
PTPRU,0.767475
PTGES2,0.973240
RPS6KC1,0.922171
SLCO1B3,0.817020
KL,0.940097
FUT5,0.913640
HECW1,0.860566
ALDH1L2,0.856009
UBE2S,0.970453
PXDN,0.851366
