GENE,ENVISION
SGK223,0.942156
HSPG2,0.900537
CHSY3,0.857184
DHCR7,0.892991
HIPK3,0.753821
USP9X,0.856025
PPP1R1A,0.809331
LBR,1.017390
AASS,0.880700
GRK7,0.975463
TKTL2,1.005920
MARS2,0.963934
MARK4,0.798424
TTN,0.605921
DIO2,0.796275
ATP5G2,0.793516
TBL1XR1,0.774346
MYLK2,0.735876
KYNU,0.784208
USP30,0.981470
USP34,0.829221
ROR2,1.009730
ITK,0.824428
UBE4A,0.888657
LRP1,0.979666
GALNT13,0.770029
PTPN12,0.757322
SLC7A10,0.959401
EIF2AK4,0.939681
RBBP6,0.805568
NEDD4L,0.880418
ATP6V0A1,1.004100
HECW2,0.842732
PTPRO,0.795911
MYO5B,0.599570
CHPF,0.999870
