GENE,ENVISION
PCK2,0.906355
TGM3,0.914559
FKBP10,0.744925
UGT3A2,0.955183
BIRC6,0.969802
EP300,0.926822
SLC7A3,0.956978
PRKDC,0.920110
NOX5,0.996224
PHKB,0.831574
CYP4F3,0.865771
USP48,0.903134
TRAF7,0.821846
USP42,0.780592
PLCH1,0.999340
TTN,0.801215
IL4I1,1.009630
IRAK4,0.720965
CPT1C,1.024290
PHEX,1.001970
PEAK1,0.857463
POLD3,0.821968
PAPD4,0.796418
ALG13,0.904440
UBR3,0.813133
DUSP16,0.811955
SETD5,0.855840
CSGALNACT1,0.742154
PTPRS,0.857701
TLK2,0.844934
ALDH1L2,0.902335
ETNPPL,0.987209
ATR,0.762674
PRKD2,0.858410
